site,signal_scope,website_surface_type,website_surface_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,app_mapping_status,priority_score,priority_band,priority_reason,priority_rank
LIQ9,website_information_architecture,category,Tequila Category,/liquor/tequila.html,70,15,classification,Tequila Category,needs_mapping,80.3,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,38
Wine-Now,website_information_architecture,collection,The Prosecco Collection,/wine-now-selection/the-prosecco.html,68,56,collection_theme,The Prosecco Collection,needs_mapping,79.2,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,39
Wine-Now,website_information_architecture,collection,Amarone Selection,/wine-now-selection/amarone-selection.html,65,45,collection_theme,Amarone Selection,needs_mapping,74.0,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,40
Wine-Now,website_information_architecture,hub,Accessory Category,/accessory.html,64,48,navigation_hub,Accessory Category,needs_mapping,73.6,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,41
Wine-Now,website_information_architecture,brand_hub,Freixenet Brand Page,/freixenet,61,45,brand,Freixenet,needs_mapping,70.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,42
LIQ9,website_information_architecture,hub,Barware Category,/barware.html,66,12,navigation_hub,Barware Category,needs_mapping,68.4,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,43
LIQ9,website_information_architecture,category,Cigar Category,/other/cigar.html,56,19,classification,Cigar Category,needs_mapping,65.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,44
Wine-Now,website_information_architecture,brand_hub,Cloudy Bay Brand Page,/cloudy_bay,52,40,brand,Cloudy Bay,needs_mapping,60.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,45
Wine-Now,website_information_architecture,collection,Barolo Collection,/wine-now-selection/barolo.html,52,39,collection_theme,Barolo Collection,needs_mapping,59.8,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,46
Wine-Now,website_information_architecture,brand_hub,Dom Perignon Brand Page,/dom_perignon,51,42,brand,Dom Perignon,needs_mapping,59.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,47
LIQ9,website_information_architecture,collection,Trending Items Liquor,/recommend/trending-items-liquor.html,55,20,collection_theme,Trending Items Liquor,needs_mapping,59.0,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,48
Wine-Now,website_information_architecture,brand_hub,Baron Philippe de Rothschild Brand Page,/baron_philippe_de_rothschild,50,28,brand,Baron Philippe de Rothschild,needs_mapping,55.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,49
Wine-Now,website_information_architecture,category,Port Wine Category,/wine/port-wine.html,45,24,classification,Port Wine Category,needs_mapping,54.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,50
Wine-Now,website_information_architecture,brand_hub,Louis Roederer Brand Page,/louis_roederer,46,37,brand,Louis Roederer,needs_mapping,53.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,51
Wine-Now,website_information_architecture,brand_hub,Catena Zapata Brand Page,/catena_zapata,47,31,brand,Catena Zapata,needs_mapping,53.2,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,52
Wine-Now,website_information_architecture,brand_hub,Greywacke Brand Page,/greywacke,45,32,brand,Greywacke,needs_mapping,51.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,53
LIQ9,website_information_architecture,spirit_region,Islay,/whisky/the-single-malt-whisky/islay.html,37,18,region,Islay,needs_mapping,46.69,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.,54
LIQ9,website_information_architecture,brand_hub,Nikka Brand Page,/nikka,42,23,brand,Nikka,needs_mapping,46.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,55
LIQ9,website_information_architecture,spirit_region,Speyside,/whisky/the-single-malt-whisky/speyside.html,33,15,region,Speyside,needs_mapping,41.4,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.,56
LIQ9,website_information_architecture,category,Vodka Category,/liquor/vodka.html,35,10,classification,Vodka Category,needs_mapping,40.7,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,57
LIQ9,website_information_architecture,spirit_region,Highland,/whisky/the-single-malt-whisky/highland.html,33,9,region,Highland,needs_mapping,40.02,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.,58
LIQ9,website_information_architecture,category,Sake / Shochu Category,/liquor/sake-soju.html,32,6,classification,Sake / Shochu Category,needs_mapping,36.52,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,59
LIQ9,website_information_architecture,category,Irish Whiskey Category,/whisky/irish-whiskey.html,28,17,classification,Irish Whiskey Category,needs_mapping,34.54,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,60
LIQ9,website_information_architecture,brand_hub,Morris Brand Page,/morris,29,11,brand,Morris,needs_mapping,31.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,61
LIQ9,website_information_architecture,category,Rum Category,/liquor/rum.html,25,7,classification,Rum Category,needs_mapping,29.04,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,62
LIQ9,website_information_architecture,brand_hub,Jack Daniel's Brand Page,/jack_daniel_s,26,12,brand,Jack Daniel's,needs_mapping,28.4,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,63
LIQ9,website_information_architecture,brand_hub,Johnnie Walker Brand Page,/johnnie_walker,23,14,brand,Johnnie Walker,needs_mapping,25.8,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,64
LIQ9,website_information_architecture,brand_hub,Beluga Brand Page,/beluga,21,17,brand,Beluga,needs_mapping,24.4,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,65
LIQ9,website_information_architecture,category,Bitter Category,/other/bitter.html,16,13,classification,Bitter Category,needs_mapping,20.46,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,66
LIQ9,website_information_architecture,brand_hub,Teremana Brand Page,/teremana,19,6,brand,Teremana,needs_mapping,20.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,67
LIQ9,website_information_architecture,category,Umeshu / Yuzushu Category,/liquor/others-liquor/umeshu-yuzushu.html,15,6,classification,Umeshu / Yuzushu Category,needs_mapping,17.82,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,68
LIQ9,website_information_architecture,brand_hub,Hennessy Brand Page,/hennessy,13,8,brand,Hennessy,needs_mapping,14.6,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,69
LIQ9,website_information_architecture,brand_hub,Suntory Brand Page,/suntory,13,6,brand,Suntory,needs_mapping,14.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,70
LIQ9,website_information_architecture,brand_hub,The Macallan Brand Page,/the_macallan,12,10,brand,The Macallan,needs_mapping,14.0,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,71
LIQ9,website_information_architecture,brand_hub,The Balvenie Brand Page,/the_balvenie,13,4,brand,The Balvenie,needs_mapping,13.8,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,72
LIQ9,website_information_architecture,collection,Flavoured Gin Collection,/feature-selection-liq-9/flavoured-gin.html,11,4,collection_theme,Flavoured Gin Collection,needs_mapping,11.8,watch,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,73
LIQ9,website_information_architecture,brand_hub,Chivas Regal Brand Page,/chivas_regal,9,8,brand,Chivas Regal,needs_mapping,10.6,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,74
LIQ9,website_information_architecture,brand_hub,Campari Brand Page,/campari,9,6,brand,Campari,needs_mapping,10.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,75
LIQ9,website_information_architecture,collection,Botanical Gin Discovery,/feature-selection-liq-9/botanical-gin-discovery.html,9,4,collection_theme,Botanical Gin Discovery,needs_mapping,9.8,watch,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,76
