sku,name,country,region,proposed_subregion,classification,current_subregion,gap_type,subregion_action_source,confidence,reasoning,lane_recommendation,priority_score,priority_rank,priority_reason,live_product_id,overall_confidence,validation_status
WRW4289BU,Jacob's Creek  Classic Shiraz Cabernet (750 ml),Australia,South Eastern Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,469.00,145,GA rank #11 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-4778-1774263062977,0.95,validated
WSP1272AC,Freixenet  ICE,Spain,Catalunya,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,467.00,146,GA rank #13 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-2052-1774263062963,0.95,validated
WSP0058AD,Champagne Ernest Rapeneau  Brut,France,Champagne,,Champagne,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,466.00,147,GA rank #34 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3707-1774263062969,0.95,validated
WSP1489BU,Jacob's Creek  Sparkling Moscato Rose (750 ml),Australia,South Eastern Australia,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,465.00,148,GA rank #15 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-4861-1774263062978,0.95,validated
WRW3122CH,Mcguigan  Black Label Red,Australia,South Eastern Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,464.00,149,GA rank #16 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-5154-1774263062980,0.9,validated
WDW0001AA,Batasiolo  Moscato Spumante Dolce,Italy,Piedmont,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,463.00,150,GA rank #17 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-2926-1774263062966,0.9,validated
WSP5750EI,French Bloom  Le Rose Organic French Bubbly (750 ml) (Alcohol-Free),France,Languedoc-Roussillon,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,462.00,151,GA rank #38 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-4891-1774263062978,0.9,validated
WSP0135AD,Fleur De France  Blanc de Blanc Brut,France,Languedoc-Roussillon,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,460.00,152,GA rank #20 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3869-1774263062970,0.82,validated
WRW1110AA,Luce Della Vite  La Vite Lucente Toscana IGT,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,459.00,153,GA rank #41 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-2906-1774263062965,0.88,validated
WRW4687AD,Penfolds  Koonunga Hill Shiraz/Cabernet,Australia,Barossa Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,458.00,154,GA rank #22 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3918-1774263062971,0.95,validated
WRW4680AD,Penfolds  Bin 28 Shiraz,Australia,South Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,454.00,155,GA rank #46 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3894-1774263062970,0.95,validated
WRW6269AA,"Velenosi  Lacrima Di Morro DOC Superiore ""Querciantica""",Italy,Marche,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,452.00,156,GA rank #48 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-2953-1774263062966,0.9,validated
WSP1479BU,G.H. Mumm  Cordon Rouge Brut (750 ml),France,Champagne,,Champagne,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,451.00,157,GA rank #49 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-4795-1774263062977,0.92,validated
WSP1112BU,Moet & Chandon  Rose Imperial (750 ml),France,Champagne,,Champagne,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,450.00,158,GA rank #50 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-1785-1774263062962,0.95,validated
WDW0019AA,Cantine Pellegrino  Zebo Moscato IGT,Italy,Sicily,,Dessert Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,447.00,159,GA rank #33 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3303-1774263062968,0.85,validated
WSP1118AD,Chandon  Rose,Australia,Victoria,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,445.00,160,GA rank #35 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3579-1774263062969,0.9,validated
WRW0288AD,Concha Y Toro  Frontera Cabernet Sauvignon,Chile,Central Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,443.00,161,GA rank #37 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3476-1774263062968,0.95,validated
WRW5598AA,Baron Philippe de Rothschild  Mouton Cadet Heritage Bordeaux Rouge,France,Bordeaux,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,440.00,162,GA rank #40 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3207-1774263062967,0.9,validated
WRW0114AD,Michel Lynch  Bordeaux Rouge,France,Bordeaux,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,438.00,163,GA rank #42 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3592-1774263062969,0.9,validated
WRW4693AD,Penfolds  Max's Cabernet Sauvignon,Australia,Barossa Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,433.00,164,GA rank #47 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3893-1774263062970,0.95,validated
WRS0217FX,Granmonte  Sakuna Rose,Thailand,Khao Yai,,Rose Wine,,subregion,likely_not_applicable,low,Current product type or geography pattern does not reliably require a subregion field in the live catalog.,likely_not_applicable,384.00,165,GA rank #31 | subregion gated gap | wine-like classification | high confidence context | likely not applicable,row-2416-1774263062964,0.9,validated
WRW5860FJ,Colina  Cabernet Sauvignon,Chile,,,Red Wine,,subregion,wait_for_region,low,"Region is still blank, so a lower-level subregion cannot be assigned safely yet.",wait_for_region,367.00,166,GA rank #28 | subregion gated gap | wine-like classification | high confidence context | blocked by missing region,row-3328-1774263062968,0.85,validated
WRW3837AF,Delas  Saint Joseph Les Challeys Rouge,France,Rhône Valley,Saint-Joseph,Red Wine,,subregion,fill_clear,high,Product name explicitly contains the Saint-Joseph appellation below the current Rhône Valley region.,clear_fill_merge_now,255.00,167,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-5840-1774263062984,0.85,validated
WRW5786DD,Le Clos du Serres  Saint-Jean Terrasses du Larzac,France,Languedoc-Roussillon,Terrasses du Larzac,Red Wine,,subregion,fill_clear,high,Product name explicitly contains Terrasses du Larzac below the current Languedoc-Roussillon region.,clear_fill_merge_now,255.00,168,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-4653-1774263062977,0.88,validated
WRW6243FJ,Lucien Crochet  Sancerre La Croix Du Roy,France,Loire valley,Sancerre,Red Wine,,subregion,fill_clear,high,Product name explicitly contains Sancerre below the current Loire Valley region.,clear_fill_merge_now,255.00,169,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-3425-1774263062968,0.92,validated
WWW0204AD,Domaine Laroche  Chablis Domaine Saint Martin AOC,France,Burgundy,Chablis,White Wine,,subregion,fill_clear,high,Product name explicitly contains Chablis below the current Burgundy region.,clear_fill_merge_now,255.00,170,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-3616-1774263062969,0.92,validated
WWW1085AF,Henri Bourgeois  Les Bonnes Bouches Sancerre Blanc,France,Loire valley,Sancerre,White Wine,,subregion,fill_clear,high,Product name explicitly contains Sancerre below the current Loire Valley region.,clear_fill_merge_now,255.00,171,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-5823-1774263062984,0.92,validated
WWW1115AD,E.Guigal  Saint Joseph Blanc AOC,France,Rhône Valley,Saint-Joseph,White Wine,,subregion,fill_clear,high,Product name explicitly contains the Saint-Joseph appellation below the current Rhône Valley region.,clear_fill_merge_now,255.00,172,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-3705-1774263062969,0.9,validated
WWW5072DJ,"La Soufrandiere  Saint-Veran ""la Combe DesRoches""",France,Burgundy,Saint-Veran,White Wine,,subregion,fill_clear,high,Product name explicitly contains Saint-Veran below the current Burgundy region.,clear_fill_merge_now,255.00,173,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-5934-1774263062984,0.9,validated
WWW5112FJ,"Lucien Crochet  Sancerre Blanc ""Les Calcaires""",France,Loire valley,Sancerre,White Wine,,subregion,fill_clear,high,Product name explicitly contains Sancerre below the current Loire Valley region.,clear_fill_merge_now,255.00,174,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-3396-1774263062968,0.92,validated
WWW5291GE,Saint Trifon  Sauvignon Blanc,Australia,South Australia,,White Wine,,subregion,fill_clear,medium,"The queue marked this as fill_clear, but the live name and current region do not expose a safe lower-level geography without external validation.",assess_later,255.00,175,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-2502-1774263062964,0.85,validated
WWW5406BN,William Fevre  Saint-Bris,France,Burgundy,Saint-Bris,White Wine,,subregion,fill_clear,high,Product name explicitly contains Saint-Bris below the current Burgundy region.,clear_fill_merge_now,255.00,176,subregion gated gap | wine-like classification | mid value | high confidence context | clear subregion candidate,row-2658-1774263062964,0.92,validated
WRW3414AF,Delas  Cotes Du Rhone Saint Esprit Rouge,France,Rhône Valley,Cotes du Rhone,Red Wine,,subregion,fill_clear,high,Product name explicitly contains Cotes du Rhone below the current Rhône Valley region.,clear_fill_merge_now,235.00,177,subregion gated gap | wine-like classification | high confidence context | clear subregion candidate,row-5811-1774263062984,0.85,validated
WWW2026AF,Delas  Cotes Du Rhone Saint Esprit Blanc,France,Rhône Valley,Cotes du Rhone,White Wine,,subregion,fill_clear,high,Product name explicitly contains Cotes du Rhone below the current Rhône Valley region.,clear_fill_merge_now,235.00,178,subregion gated gap | wine-like classification | high confidence context | clear subregion candidate,row-5813-1774263062984,0.85,validated
WRW0118AD,Ogier  Chateauneuf du Pape Clos de l'Oratoire des Papes,France,Rhône Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,179,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3883-1774263062970,0.85,validated
WRW0380AD,Concha Y Toro  Don Melchor,Chile,Maipo Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,180,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3621-1774263062969,0.95,validated
WRW0459AA,Finca La Celia  La Celia Supremo,Argentina,Mendoza,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,181,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3088-1774263062967,0.88,validated
WRW0479AA,Lungarotti  Rubesco Torgiano Riserva Vigna Monticchio,Italy,Umbria,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,182,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3039-1774263062966,0.9,validated
WRW0493AA,Mount Langi Ghiran  Langi Shiraz Shiraz,Australia,Victoria,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,183,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3198-1774263062967,0.9,validated
WRW0517AA,Poggio Al Tesoro  Sondraia DOC,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,184,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3117-1774263062967,0.92,validated
WRW0518AA,Poggio Al Tesoro  W DedIcato A Walter,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,185,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3148-1774263062967,0.92,validated
WRW0597AA,Allegrini  Palazzo della Torre IGT (Magnum) (1.5 L),Italy,Veneto,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,186,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3163-1774263062967,0.95,validated
WRW0619AA,Allegrini  La Poja IGT,Italy,Veneto,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,187,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3150-1774263062967,0.95,validated
WRW0718AD,Torres  Mas La Plana,Spain,Catalunya,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,188,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3882-1774263062970,0.9,validated
WRW1048AD,Beringer  Knights Valley Cabernet Sauvignon,USA,California,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,189,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3440-1774263062968,0.9,validated
WRW1109AA,Luce Della Vite   Luce IGT,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,190,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2904-1774263062965,0.93,validated
WRW1249AD,Catena Zapata  Nicasia Malbec,Argentina,Mendoza,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,191,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3708-1774263062969,0.95,validated
WRW1472AD,E.Guigal  Cote-Rotie Brune Et Blonde De Guigal,France,Rhône Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,192,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3593-1774263062969,0.9,validated
WRW1473AD,E.Guigal  Cote-Rotie Chateau D' Ampuis,France,Rhône Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,193,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3726-1774263062969,0.9,validated
WRW1626BS,Rocca Di Frassinello DOC,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,194,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-5437-1774263062982,0.92,validated
WRW1636BS,Rocca Di Frassinello  Baffonero DOC,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,195,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-5386-1774263062982,0.92,validated
WRW1649BU,Cheval des Andes,Argentina,Mendoza,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,196,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-1833-1774263062962,0.93,validated
WRW1834AE,Tenuta Sette Ponti  Oreno,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,197,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2338-1774263062963,0.9,validated
WRW1932AC,Vina El Principal  El Principal,Chile,Maipo Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,198,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2065-1774263062963,0.9,validated
WRW2380AD,Torbreck  The Factor 2021,Australia,Barossa Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,199,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3610-1774263062969,0.93,validated
WRW2385AD,Torbreck  Run Rig,Australia,Barossa Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,200,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3619-1774263062969,0.93,validated
WRW2901BN,Domaine Du Pegau  Chateauneuf du Pape Laurence,France,Rhône Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,201,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2596-1774263062964,0.85,validated
WRW2902BN,Domaine Du Pegau  Chateauneuf du Pape da Capo 2016,France,Rhône Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,202,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2557-1774263062964,0.85,validated
WRW3011BN,Felton Road  Pinot Noir Block 3,New Zealand,Central Otago,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,203,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2648-1774263062964,0.92,validated
WRW3013BN,Felton Road  Pinot Noir Block 5,New Zealand,Central Otago,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,204,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2649-1774263062964,0.92,validated
WRW3063BN,Castello di Fonterutoli  Siepi Toscana IGT,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,205,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-2532-1774263062964,0.88,validated
WRW3199CU,Bodegas Valduero  Una Cepa,Spain,Ribera del Duero,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,206,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3985-1774263062971,0.9,validated
WRW3201CU,"bodegas Valduero  Reserva Premium "" 6 Anos""",Spain,Ribera del Duero,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,207,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3983-1774263062971,0.9,validated
WRW3232AA,Monteverro  Tinata IGT,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,208,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3124-1774263062967,0.9,validated
WRW3301DD,Viu Manent  Viu 1,Chile,Colchagua Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,209,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-4568-1774263062976,0.92,validated
WRW3578DH,Podere IL Carnasciale  Carnasciale IGT,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,210,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-1964-1774263062962,0.9,validated
WRW3647DJ,Domaine Lafarge-Vial  Fleurie,France,Burgundy,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,211,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-5930-1774263062984,0.92,validated
WRW3764DJ,Chateau Falfas   Le Chevalier,France,Bordeaux,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,220.00,212,subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-5920-1774263062984,0.85,validated
