pack_type,canonical_name,parent_country,parent_region,scope,knowledge_short_en,knowledge_full_en,signature_varieties_or_styles,signature_regions_or_appellations,house_or_category_traits,use_cases,validation_status,confidence_level,source_basis,source_priority,source_urls,last_reviewed,notes
brand,Penfolds,Australia,,wine,"Penfolds is Australia's best-known fine wine house, celebrated for Grange and its long-running Bin series.","Founded in 1844 in South Australia, Penfolds is one of the defining names in Australian wine. It is best known for Grange, a benchmark Shiraz-based icon, alongside collectible Bin wines and more accessible labels such as Koonunga Hill and Max's. The house style is built around ripe fruit, careful oak handling, and multi-region blending. Penfolds remains a major reference point for premium Australian wine.","Shiraz, Cabernet Sauvignon, Bin series, Grange","South Australia, Barossa, McLaren Vale, Coonawarra","power, polish, consistency, prestige","brand pages, taxonomy rewrite, product-family context",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority brand pack.
brand,Veuve Clicquot,France,,champagne,"Veuve Clicquot is one of Champagne's most famous houses, known for Yellow Label Brut and a style built on structure, richness, and consistency.","Veuve Clicquot is one of the defining grande marque Champagne houses and remains instantly recognizable through its Yellow Label bottling. Pinot Noir plays a strong role in the house style, helping give many cuvees their structure and depth, while reserve wines support continuity across releases. The brand combines heritage, visibility, and gifting appeal. It remains a major luxury and celebration reference in Champagne retail.","Yellow Label Brut, Rose Champagne, Vintage Champagne",Champagne,"structure, richness, consistency, luxury visibility","brand pages, Champagne context, gifting and celebration copy",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority Champagne brand pack.
classification,Blended Scotch,,,whisky,"Blended Scotch combines malt and grain whiskies to create a consistent house style, balancing accessibility, structure, and complexity.","Blended Scotch is the most commercially important part of the Scotch category and often the broadest entry point for drinkers. By combining malt and grain whisky from different distilleries, producers can shape a repeatable style that emphasizes smoothness, balance, and brand identity. Premium blends can be deeply layered and oak-influenced, not merely simple or entry-level. The category remains essential in both sipping and cocktail culture.","Blended Scotch Whisky, deluxe blend, aged blend",Scotland,"consistency, balance, blend architecture","classification pages, Scotch guidance, customer education",expert_seed,A,expert_authored,category_reference,,2026-04-15,Core Scotch classification pack.
classification,Gin,,,spirits,"Gin is a juniper-led spirit whose style ranges from classic London Dry precision to softer, citrus-led, or botanical-rich modern expressions.","Gin is defined by juniper, but the category has become increasingly broad through contemporary botanical builds and diverse production methods. London Dry remains the classic benchmark, favoring dryness and crisp structure, while newer styles may highlight citrus, floral tones, spice, or local ingredients. The category works equally well in cocktails and as a premium sipping spirit. It remains one of the most dynamic spirits categories in retail.","London Dry Gin, Old Tom Gin, Contemporary Gin","England, Scotland, Japan, Spain","juniper, botanicals, versatility, cocktail appeal","classification copy, brand context, spirits navigation",expert_seed,A,expert_authored,"category_reference, official_brand",,2026-04-15,Core gin classification pack.
classification,Red Wine,,,wine,"Red wine is made by fermenting dark-skinned grapes with their skins, extracting color, tannin, and savory depth.","Red wine spans an enormous stylistic range, from light, fragrant Pinot Noir to structured Cabernet Sauvignon and powerful Shiraz. Fermentation with skins gives red wine its color, tannin, and much of its texture, while oak aging may add spice, toast, or cedar notes. Climate, grape variety, extraction, and maturation all shape the final style. In retail, body, tannin, and flavor profile are key navigation tools.","Cabernet Sauvignon, Merlot, Pinot Noir, Shiraz, Sangiovese, Tempranillo","Bordeaux, Burgundy, Tuscany, Rioja, Barossa, Napa Valley","fruit, tannin, structure, food pairing flexibility","classification copy, shelf navigation, educational content",expert_seed,A,expert_authored,category_reference,,2026-04-15,Core classification pack.
classification,Rum,,,spirits,"Rum is a sugarcane spirit that spans light, cocktail-friendly styles through to rich aged bottlings with molasses, spice, and oak depth.","Rum can be made from molasses or fresh cane juice, and its style varies widely by tradition, geography, and maturation. Spanish-style rums often emphasize softness and elegance, English-style rums can be fuller and richer, and French agricole styles show fresher cane character. White, gold, dark, spiced, and aged expressions all serve different roles in retail and cocktails. The category offers both accessibility and serious collector interest.","White Rum, Gold Rum, Dark Rum, Aged Rum, Agricole Rum","Caribbean, Barbados, Jamaica, Martinique, Cuba","cane sweetness, spice, oak, versatility","classification copy, spirits education, cocktail context",expert_seed,A,expert_authored,"official_brand, category_reference",,2026-04-15,Core rum classification pack.
classification,Sake,,,sake,"Sake is brewed from rice, water, koji, and yeast, with style shaped by polishing, brewing method, and regional interpretation.","Sake ranges from light and fragrant to savory, textural, and umami-rich. Terms such as Junmai, Ginjo, and Daiginjo indicate differences in brewing approach and rice polishing, while serving temperature can dramatically change perception. Water, rice variety, and brewery style all matter. In premium retail, sake benefits from clear guidance on sweetness, body, aroma, and food pairing.","Junmai, Junmai Ginjo, Junmai Daiginjo, Honjozo, Nama","Nada, Fushimi, Niigata, Nagano, Yamaguchi","rice polish, umami, delicacy, serving flexibility","classification copy, sake education, menu support",expert_seed,A,expert_authored,"official_brewery, sake_association",,2026-04-15,Core sake classification pack.
classification,Single Malt Whisky,,,whisky,"Single malt whisky is made at one distillery from 100% malted barley and matured in oak, with house style shaped by region, stills, and casks.","Single malt whisky is defined by distillery identity as much as raw material. In Scotch, it must be made at a single distillery from malted barley and aged for at least three years in oak. Flavor can range from floral and citrus-led to smoky, maritime, or deeply sherried depending on region and maturation. It is one of the most important premium categories in whisky retail.","Single Malt Scotch, sherry cask, bourbon cask, peated malt","Speyside, Islay, Highland, Campbeltown, Lowland","distillery identity, cask influence, complexity, collectability","classification pages, whisky education, premium product storytelling",expert_seed,A,expert_authored,category_reference,,2026-04-15,Core whisky classification pack.
classification,Sparkling Wine,,,wine,"Sparkling wine is defined by its effervescence, with styles ranging from crisp and aperitif-friendly to rich, autolytic, and cellar-worthy.","Sparkling wine may be made by traditional bottle fermentation, tank method, or other techniques depending on region and style. Champagne, Cava, Franciacorta, and many premium New World sparkling wines rely on traditional method for complexity and fine mousse, while Prosecco emphasizes freshness and fruit. Sweetness levels, lees aging, and grape composition all influence the result. It remains one of the most versatile categories for celebration and food pairing.","Champagne, Prosecco, Cava, Franciacorta, traditional method","Champagne, Veneto, Penedes, Franciacorta","mousse, acidity, freshness, autolytic complexity","classification copy, sparkling education, festive merchandising",expert_seed,A,expert_authored,category_reference,,2026-04-15,Core classification pack.
classification,Tequila,,,spirits,"Tequila is a blue agave spirit from Mexico, with styles ranging from bright blanco to oak-aged reposado and anejo.","Tequila is produced from blue Weber agave and is most closely associated with Jalisco. Blanco styles emphasize freshness and agave purity, reposado adds softer oak influence, and anejo brings deeper spice, vanilla, and texture from barrel aging. Production choices such as cooking method, fermentation, and still type also shape style. Tequila is one of the key premium spirits categories in modern retail and cocktail culture.","Blanco, Reposado, Anejo, Extra Anejo","Jalisco, Los Altos, Tequila Valley","agave character, freshness, oak progression","classification pages, spirits education, agave guidance",expert_seed,A,expert_authored,"CRT, official_brand",,2026-04-15,Core tequila classification pack.
classification,White Wine,,,wine,"White wine is made mainly without skin contact, emphasizing freshness, texture, aroma, and varietal detail.","White wine can range from crisp and mineral to rich, textural, and oak-aged. Styles depend on grape variety, climate, lees work, and whether oak is used, with Sauvignon Blanc, Chardonnay, Riesling, Chenin Blanc, and Pinot Grigio among the most common references. Acidity is often central to structure and food pairing. In retail, white wine is usually navigated through freshness, fruit profile, and body.","Chardonnay, Sauvignon Blanc, Riesling, Chenin Blanc, Pinot Grigio","Burgundy, Chablis, Marlborough, Mosel, Loire, Alto Adige","acidity, aroma, freshness, texture","classification copy, education, pairing guidance",expert_seed,A,expert_authored,category_reference,,2026-04-15,Core classification pack.
country,Argentina,,,wine,"Argentina is best known for Malbec from Mendoza, offering ripe fruit, altitude freshness, and excellent value across price levels.","Argentina's wine story is led by the Andes, especially Mendoza, where altitude helps preserve freshness in sunny conditions. Malbec is the signature grape, but Cabernet Sauvignon, Chardonnay, Torrontes, and Cabernet Franc are also important. The best wines combine generous fruit with mountain lift and a polished tannin profile. Argentina performs strongly both as an approachable entry point and as a source of serious premium reds.","Malbec, Cabernet Sauvignon, Torrontes, Chardonnay, Cabernet Franc","Mendoza, Uco Valley, Salta, Patagonia","altitude, ripe fruit, freshness, value","taxonomy descriptions, country pages, red wine context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Australia,,,wine,"Australia is a leading New World wine country, celebrated for bold Shiraz, strong regional identities, and polished styles.","Australia's wine reputation is built on both power and precision. South Australia remains the heart of the category through Barossa, McLaren Vale, and Coonawarra, while Margaret River, Yarra Valley, Clare Valley, and Tasmania add regional range. Shiraz and Cabernet Sauvignon are central to the country's red wine identity, with Chardonnay, Riesling, and sparkling wine also important. The market spans reliable everyday labels and some of the Southern Hemisphere's most collectible wines.","Shiraz, Cabernet Sauvignon, Chardonnay, Riesling, sparkling wine","Barossa, McLaren Vale, Coonawarra, Margaret River, Yarra Valley, Clare Valley","ripe fruit, regional clarity, polished oak, premium breadth","taxonomy descriptions, country pages, product context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Austria,,,wine,"Austria is a fine wine country known for Gruner Veltliner, Riesling, and precise cool-climate whites with strong gastronomic appeal.","Austria's reputation rests on freshness, clarity, and regional definition. Wachau, Kamptal, Kremstal, and Burgenland are among its key regions, with Gruner Veltliner and Riesling leading the country's white wine image, while Blaufrankisch and Zweigelt are important on the red side. Austrian wines often combine lift, mineral tension, and food-friendly structure. The country is especially valued by drinkers looking for elegant alternatives to more obvious classic regions.","Gruner Veltliner, Riesling, Blaufrankisch, Zweigelt","Wachau, Kamptal, Kremstal, Burgenland","precision, freshness, minerality, gastronomy","taxonomy descriptions, country pages, sommelier-facing context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Chile,,,wine,"Chile is one of South America's key wine countries, known for value, consistency, and polished Cabernet Sauvignon, Carmenere, and Sauvignon Blanc.","Chile stretches between the Andes and the Pacific, giving its vineyards cooling influences and a long growing season. Cabernet Sauvignon remains the country's flagship red, with Carmenere, Merlot, Chardonnay, and Sauvignon Blanc all important across regions such as Maipo, Colchagua, Casablanca, and the Central Valley. The wines often balance ripe fruit with freshness and clean varietal definition. Chile is especially strong where dependable quality and price-to-quality value matter.","Cabernet Sauvignon, Carmenere, Merlot, Chardonnay, Sauvignon Blanc","Maipo Valley, Colchagua Valley, Casablanca, Central Valley","value, varietal clarity, freshness, consistency","taxonomy descriptions, country pages, retail context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,France,,,"wine, spirits","France is the benchmark for fine wine and the home of Champagne, Cognac, Burgundy, Bordeaux, and many of the world's classic appellations.","France remains the global reference point for premium wine through regions such as Bordeaux, Burgundy, Champagne, the Rhone Valley, Loire, and Alsace. Its appellation system ties style and quality closely to origin, from Cabernet and Merlot blends to Pinot Noir, Chardonnay, and traditional-method sparkling wine. France is also central to premium spirits through Cognac, Armagnac, and aperitif culture. It is one of the essential countries in fine wine and spirits retail.","Cabernet Sauvignon, Merlot, Pinot Noir, Chardonnay, Champagne, Cognac","Bordeaux, Burgundy, Champagne, Rhone Valley, Loire, Alsace, Cognac","regional identity, appellation structure, prestige hierarchy, cellar-worthiness","taxonomy descriptions, region intros, premium retail context",expert_seed,A,expert_authored,"governing_body, official_region",,2026-04-15,High-priority country reference pack.
country,Germany,,,"wine, beer, spirits","Germany is best known for Riesling, producing wines that range from bone dry to lusciously sweet with clarity and precision.","Germany's wine identity is anchored by Riesling and the country's cool-climate vineyards along rivers such as the Mosel, Rheingau, Nahe, and Pfalz. The best wines are valued for purity, acidity, and the ability to balance sweetness with structure. Germany also produces strong Pinot family wines and important beer and herbal liqueur traditions. It is a key origin for drinkers who value freshness, minerality, and aromatic detail.","Riesling, Spatburgunder, beer, herbal liqueur","Mosel, Rheingau, Nahe, Pfalz, Baden","acidity, purity, minerality, aromatic precision","taxonomy descriptions, country pages, white wine context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Italy,,,"wine, spirits","Italy is one of the world's great wine countries, known for regional diversity, native grapes, and food-friendly styles from north to south.","Italy offers extraordinary regional contrast, from Piedmont's Nebbiolo and Tuscany's Sangiovese to Veneto's Amarone and Prosecco, Sicily's volcanic whites, and the rich reds of Puglia. Native grape varieties are central to its identity, while DOC and DOCG designations help define origin and quality. Italy also contributes major vermouth, amaro, and grappa traditions to the drinks world. It is a cornerstone country for both classic and discovery-led retail.","Sangiovese, Nebbiolo, Barbera, Glera, Primitivo, Amarone, Prosecco, amaro, grappa","Tuscany, Piedmont, Veneto, Sicily, Puglia, Brunello di Montalcino, Barolo, Chianti Classico","native grapes, regional typicity, versatility at table","taxonomy descriptions, country pages, product context",expert_seed,A,expert_authored,"governing_body, official_region",,2026-04-15,High-priority country reference pack.
country,Japan,,,"sake, whisky, spirits","Japan is renowned for refined sake, precise whisky, and a modern craft spirits culture shaped by balance and detail.","Japan is one of the most important countries in premium sake and whisky. Its sake culture spans polished junmai daiginjo, expressive junmai, and regional styles shaped by rice, water, and brewery tradition, while Japanese whisky is prized for finesse, texture, and cask precision. The country also has a fast-growing gin, liqueur, and shochu scene. Across categories, Japanese drinks are often defined by purity, restraint, and meticulous production.","Junmai Daiginjo, Junmai Ginjo, Japanese whisky, shochu, craft gin","Nada, Fushimi, Yamaguchi, Nagano, Hokkaido","precision, purity, balance, restrained elegance","taxonomy descriptions, sake/whisky education, premium product storytelling",expert_seed,A,expert_authored,"official_brewery, official_distillery, governing_body",,2026-04-15,High-priority country reference pack.
country,Mexico,,,spirits,"Mexico is the global home of tequila and mezcal, with a drinks culture rooted in agave, regional identity, and bold flavor.","Mexico's greatest influence on the global drinks market comes from agave spirits. Tequila, centered on blue agave and strongly associated with Jalisco, spans crisp blancos, oak-aged reposados, and richer anejos, while mezcal offers broader regional and varietal diversity with a more rustic or smoky profile. Mexico is also important in beer and a growing premium spirits scene. Its strongest retail appeal lies in authenticity, mixability, and distinctive origin character.","Tequila, Mezcal, Blanco, Reposado, Anejo","Jalisco, Oaxaca, Los Altos, Tequila Valley","agave identity, regional expression, mixability","taxonomy descriptions, spirits education, agave guidance",expert_seed,A,expert_authored,"CRT, official_brand",,2026-04-15,High-priority country reference pack.
country,New Zealand,,,wine,"New Zealand is famous for vivid Sauvignon Blanc and pure-fruited Pinot Noir, with a crisp, modern style shaped by cool climates.","New Zealand built its global reputation on Marlborough Sauvignon Blanc, whose citrus, passion fruit, and herbaceous profile became a benchmark style. Pinot Noir also plays a major role in regions such as Central Otago and Martinborough, while Chardonnay, Riesling, and sparkling wine add depth. The country's wines are often defined by brightness, precision, and aromatic clarity. For premium retail, New Zealand offers high drinkability with strong varietal identity.","Sauvignon Blanc, Pinot Noir, Chardonnay, Riesling","Marlborough, Central Otago, Martinborough, Hawke's Bay","aromatic precision, freshness, varietal clarity","taxonomy descriptions, country pages, white wine context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Scotland,,,whisky,"Scotland is the home of Scotch whisky, with regional styles ranging from delicate and fruity to smoky, maritime, and deeply peated.","Scotland's whisky culture is defined by distillery identity, regional character, and long oak maturation. Speyside is known for elegant, fruit-led malts, Islay for smoke and peat, and Highland, Lowland, and Campbeltown each bring their own stylistic signatures. Blended Scotch remains commercially important, while single malts carry much of the prestige. Scotland is one of the essential origins in premium spirits retail.","Single Malt Scotch, Blended Scotch, peated whisky, sherry cask maturation","Speyside, Islay, Highland, Lowland, Campbeltown","oak maturation, distillery identity, regional style","taxonomy descriptions, whisky category copy, educational content",expert_seed,A,expert_authored,"official_distillery, scotch_whisky_association",,2026-04-15,High-priority country reference pack.
country,Spain,,,"wine, spirits","Spain offers some of Europe's most characterful wines, from Rioja and Ribera reds to Sherry, Cava, and Atlantic whites.","Spain combines deep winemaking heritage with striking regional variety. Tempranillo leads many of its most famous reds, especially in Rioja and Ribera del Duero, while Garnacha, Albarino, Verdejo, and Monastrell all play important roles. Cava remains a major traditional-method sparkling category, and Jerez is the home of Sherry. Spain is highly versatile for both classic cellar bottles and approachable everyday wine.","Tempranillo, Garnacha, Albarino, Verdejo, Cava, Sherry","Rioja, Ribera del Duero, Jerez, Priorat, Rias Baixas, Penedes","regional contrast, tradition, value, food-friendliness","taxonomy descriptions, country pages, educational context",expert_seed,A,expert_authored,official_region,,2026-04-15,High-priority country reference pack.
country,Thailand,,,"spirits, wine, beer","Thailand is an emerging drinks origin with growing visibility in rum, craft spirits, and tropical-fruit-led wine styles.","Thailand is still a niche origin in global drinks, but it has developed a distinctive modern identity in local rum, craft gin, fruit spirits, and tropical-climate wine. Domestic production often leans into aromatic ingredients, easy-drinking styles, and hospitality-friendly formats suited to warm weather. While it is not yet a classic fine wine country, Thailand has relevance in contemporary Asian beverage retail through local innovation and regional curiosity value.","local rum, craft gin, tropical fruit wine, beer","Hua Hin Hills, Khao Yai","warm-climate expression, local innovation, aromatic style","taxonomy descriptions, local-market context, regional innovation pages",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority local relevance pack.
country,USA,,,"wine, spirits","The United States is a major premium wine and spirits producer, led by California wine and a broad whiskey tradition.","The United States combines scale with category breadth. California dominates fine wine through Napa Valley, Sonoma, and the Central Coast, especially for Cabernet Sauvignon, Chardonnay, and Pinot Noir, while Oregon and Washington add distinct regional styles. In spirits, bourbon, rye, and Tennessee whiskey shape the country's global identity, alongside a vibrant craft distilling scene. The result is a portfolio that ranges from classic to innovative across multiple price levels.","Cabernet Sauvignon, Chardonnay, Pinot Noir, bourbon, rye whiskey","Napa Valley, Sonoma, Oregon, Washington, Kentucky, Tennessee","scale, premium positioning, innovation, regional breadth","taxonomy descriptions, country pages, product context",expert_seed,A,expert_authored,"official_region, official_distillery",,2026-04-15,High-priority country reference pack.
region,Barbaresco,Italy,Piedmont,wine,"Barbaresco produces elegant Nebbiolo with perfume, structure, and finesse, often in a slightly earlier-drinking style than Barolo.","Barbaresco is one of Piedmont's great Nebbiolo appellations, producing wines of aromatic lift, red fruit, floral nuance, and firm but often more supple structure than Barolo. Soils, exposures, and village differences remain highly important, and long aging is still common in serious examples. The region rewards drinkers who value finesse as much as power. It is one of Italy's classic fine-wine references.","Nebbiolo, Barbaresco DOCG",Barbaresco,"perfume, finesse, tannin, ageability","region pages, Piedmont education, premium retail guidance",expert_seed,A,expert_authored,consorzio,,2026-04-15,Core Piedmont appellation pack.
region,Barolo,Italy,Piedmont,wine,"Barolo is one of Italy's greatest red wine appellations, producing Nebbiolo of perfume, tannin, and long aging potential.","Barolo is often called the king of Italian wine because of the stature and longevity of its Nebbiolo-based reds. The wines are typically structured, aromatic, and complex, with rose, tar, cherry, spice, and firm tannin among the classic references. Village and cru distinctions matter greatly, and aging is central to the style. Barolo is a benchmark for serious cellar-worthy red wine.","Nebbiolo, Barolo DOCG",Barolo,"perfume, tannin, ageability, cru identity","region pages, Piedmont context, premium red wine education",expert_seed,A,expert_authored,consorzio,,2026-04-15,Core Piedmont appellation pack.
region,Barossa,Australia,,wine,"Barossa is Australia's flagship red wine region, celebrated for powerful Shiraz, old vines, and a rich, generous style.","Barossa is best known for Shiraz, often delivering concentrated dark fruit, spice, and plush texture. Old-vine material is one of the region's defining strengths, and Grenache, Mourvedre, Cabernet Sauvignon, and Riesling also contribute to its profile. Warm conditions support richness, while sub-zones and elevation add some stylistic variation. Barossa remains one of the most recognizable names in Australian wine.","Shiraz, Grenache, Cabernet Sauvignon, GSM blends","Barossa Valley, Eden Valley","power, ripe fruit, old vines, plush texture","region pages, Australian wine context, red wine guidance",expert_seed,A,expert_authored,official_region,,2026-04-15,Core Australian region knowledge pack.
region,Bordeaux,France,,wine,"Bordeaux is France's leading fine wine region, famed for age-worthy Cabernet Sauvignon and Merlot blends from the Left and Right Banks.","Located in southwest France, Bordeaux produces some of the world's most collectible wines. The Left Bank favors Cabernet Sauvignon-dominant blends with structure and cassis depth, while the Right Bank is known for softer, Merlot-led wines. Sweet wines from Sauternes and dry whites from Pessac-Leognan add breadth to the region. Classification systems and chateau reputation strongly shape how Bordeaux is bought and sold.","Cabernet Sauvignon, Merlot, Cabernet Franc, dry white Bordeaux, Sauternes","Medoc, Pauillac, Margaux, Saint-Emilion, Pomerol, Graves, Pessac-Leognan, Sauternes","blends, structure, ageability, classification hierarchy","region pages, product context, premium retail education",expert_seed,A,expert_authored,"official_region, appellation_body",,2026-04-15,Core wine region knowledge pack.
region,Burgundy,France,,wine,"Burgundy is the spiritual home of Pinot Noir and Chardonnay, prized for site-specific wines shaped by vineyard hierarchy and terroir.","Burgundy is one of the most terroir-driven wine regions in the world. Red wines are predominantly Pinot Noir and whites are largely Chardonnay, with expression changing dramatically from village to village and vineyard to vineyard. The classification ladder runs from regional and village wines to Premier Cru and Grand Cru. Precision, elegance, and place define the region's appeal.","Pinot Noir, Chardonnay, Premier Cru, Grand Cru","Cote de Nuits, Cote de Beaune, Chablis, Maconnais, Gevrey-Chambertin, Meursault","terroir, site specificity, finesse, hierarchy","region pages, taxonomy rewrite, educational context",expert_seed,A,expert_authored,"official_region, appellation_body",,2026-04-15,Core wine region knowledge pack.
