trend_rank,site,trend_type,reference_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,trend_score,trend_band,trend_note
32,Wine-Now,brand_hub,Chateau de la Vieille Tour Brand Page,/chateau_de_la_vieille_tour,77,55,brand,Chateau de la Vieille Tour,88.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
33,LIQ9,category,Rum Category,/liquor/rum.html,76,19,classification,Rum Category,87.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
34,LIQ9,brand_hub,Inchon Brand Page,/inchon,74,62,brand,Inchon,86.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
35,Wine-Now,brand_hub,Ruinart Brand Page,/ruinart,75,53,brand,Ruinart,85.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
36,Wine-Now,brand_hub,Donnafugata Brand Page,/donnafugata,73,57,brand,Donnafugata,84.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
37,LIQ9,hub,All brands,/brands,74,41,navigation_hub,All brands,82.2,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
38,LIQ9,category,Tequila Category,/liquor/tequila.html,70,15,classification,Tequila Category,80.3,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
39,Wine-Now,collection,The Prosecco Collection,/wine-now-selection/the-prosecco.html,68,56,collection_theme,The Prosecco Collection,79.2,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
40,Wine-Now,collection,Amarone Selection,/wine-now-selection/amarone-selection.html,65,45,collection_theme,Amarone Selection,74.0,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
41,Wine-Now,hub,Accessory Category,/accessory.html,64,48,navigation_hub,Accessory Category,73.6,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
42,Wine-Now,brand_hub,Freixenet Brand Page,/freixenet,61,45,brand,Freixenet,70.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
43,LIQ9,hub,Barware Category,/barware.html,66,12,navigation_hub,Barware Category,68.4,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
44,LIQ9,category,Cigar Category,/other/cigar.html,56,19,classification,Cigar Category,65.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
45,Wine-Now,brand_hub,Cloudy Bay Brand Page,/cloudy_bay,52,40,brand,Cloudy Bay,60.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
46,Wine-Now,collection,Barolo Collection,/wine-now-selection/barolo.html,52,39,collection_theme,Barolo Collection,59.8,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
47,Wine-Now,brand_hub,Dom Perignon Brand Page,/dom_perignon,51,42,brand,Dom Perignon,59.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
48,LIQ9,collection,Trending Items Liquor,/recommend/trending-items-liquor.html,55,20,collection_theme,Trending Items Liquor,59.0,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
49,Wine-Now,brand_hub,Baron Philippe de Rothschild Brand Page,/baron_philippe_de_rothschild,50,28,brand,Baron Philippe de Rothschild,55.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
50,Wine-Now,category,Port Wine Category,/wine/port-wine.html,45,24,classification,Port Wine Category,54.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
51,Wine-Now,brand_hub,Louis Roederer Brand Page,/louis_roederer,46,37,brand,Louis Roederer,53.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
52,Wine-Now,brand_hub,Catena Zapata Brand Page,/catena_zapata,47,31,brand,Catena Zapata,53.2,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
53,Wine-Now,brand_hub,Greywacke Brand Page,/greywacke,45,32,brand,Greywacke,51.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
54,LIQ9,spirit_region,Islay,/whisky/the-single-malt-whisky/islay.html,37,18,region,Islay,46.69,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.
55,LIQ9,brand_hub,Nikka Brand Page,/nikka,42,23,brand,Nikka,46.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
56,LIQ9,spirit_region,Speyside,/whisky/the-single-malt-whisky/speyside.html,33,15,region,Speyside,41.4,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.
57,LIQ9,category,Vodka Category,/liquor/vodka.html,35,10,classification,Vodka Category,40.7,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
58,LIQ9,spirit_region,Highland,/whisky/the-single-malt-whisky/highland.html,33,9,region,Highland,40.02,medium,Region-led discovery signal for whisky taxonomy. This should be mapped into app taxonomy deliberately rather than copied directly.
59,LIQ9,category,Sake / Shochu Category,/liquor/sake-soju.html,32,6,classification,Sake / Shochu Category,36.52,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
60,LIQ9,category,Irish Whiskey Category,/whisky/irish-whiskey.html,28,17,classification,Irish Whiskey Category,34.54,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
61,LIQ9,brand_hub,Morris Brand Page,/morris,29,11,brand,Morris,31.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
62,LIQ9,category,Rum Category,/liquor/rum.html,25,7,classification,Rum Category,29.04,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
63,LIQ9,brand_hub,Jack Daniel's Brand Page,/jack_daniel_s,26,12,brand,Jack Daniel's,28.4,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
64,LIQ9,brand_hub,Johnnie Walker Brand Page,/johnnie_walker,23,14,brand,Johnnie Walker,25.8,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
65,LIQ9,brand_hub,Beluga Brand Page,/beluga,21,17,brand,Beluga,24.4,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
66,LIQ9,category,Bitter Category,/other/bitter.html,16,13,classification,Bitter Category,20.46,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
67,LIQ9,brand_hub,Teremana Brand Page,/teremana,19,6,brand,Teremana,20.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
68,LIQ9,category,Umeshu / Yuzushu Category,/liquor/others-liquor/umeshu-yuzushu.html,15,6,classification,Umeshu / Yuzushu Category,17.82,watch,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
69,LIQ9,brand_hub,Hennessy Brand Page,/hennessy,13,8,brand,Hennessy,14.6,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
70,LIQ9,brand_hub,Suntory Brand Page,/suntory,13,6,brand,Suntory,14.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
71,LIQ9,brand_hub,The Macallan Brand Page,/the_macallan,12,10,brand,The Macallan,14.0,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
72,LIQ9,brand_hub,The Balvenie Brand Page,/the_balvenie,13,4,brand,The Balvenie,13.8,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
73,LIQ9,collection,Flavoured Gin Collection,/feature-selection-liq-9/flavoured-gin.html,11,4,collection_theme,Flavoured Gin Collection,11.8,watch,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
74,LIQ9,brand_hub,Chivas Regal Brand Page,/chivas_regal,9,8,brand,Chivas Regal,10.6,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
75,LIQ9,brand_hub,Campari Brand Page,/campari,9,6,brand,Campari,10.2,watch,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
76,LIQ9,collection,Botanical Gin Discovery,/feature-selection-liq-9/botanical-gin-discovery.html,9,4,collection_theme,Botanical Gin Discovery,9.8,watch,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
