sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,desc_en_full,bottle_size,price,validation_status,enrichment_priority,quality_score_total,score_completeness,score_description,score_taxonomy,score_consistency,score_enrichment,scope,missing_fields,issues
LOT0115AA,LOT0115,Suntory  Yamazaki Cask Umeshu (750 ml),Others,,,Japan,Japan,,,,Suntory,,,medium,,"[""fruit""]",,1,"The Suntory plum wine barrel finish is the result 
of a luxurious blend of raw liquor and finished 
with an altitude number, which achieves the 
thickness of the taste that is unaffected by 
soda. 
The plum liqueur is aged in Suntory's whiskey 
barrels and is blended with a hidden flavor. The 
next-generation plum liqueur is enjoyed from a 
meal that matches soda, with a rich taste 
derived from barrels and western sake. 
The label is illustrated with the bottle and barrel 
for a fresh and elegant design that combines 
the fruit with the motif of plum. You can also 
enjoy soda-splitting and rocks and water split.
We recommend a 1:2 ratio of plum wine to soda",,750 ml,1549,validated,2,52,19,5,20,5,3,wine,grape_variety; vintage; desc_en_full; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_tannin"
LOT0129AA,LOT0129,Suntory  Yamazaki Cask Umeshu Plum (750 ml),Others,,,Japan,Japan,,,,Suntory,,,,low,"[""fruit"",""spice"",""oak""]",,1,"Smooth aroma with a whisky finish. An authentic
plum liqueur with a lingering aftertaste.
This authentic plum liqueur, a Suntory original, is
made with plum liqueur matured over time in
whisky casks, finished with whisky that was
aged in plum liqueur barrels. The toasted casks
give it a fragrant aroma reminiscent of vanilla,
along with a bright and profound flavor. This
rich flavor and aftertaste can be enjoyed
straight or on the rocks.",,750 ml,2159,validated,2,52,19,5,20,5,3,wine,grape_variety; vintage; desc_en_full; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity"
CIG0252BT,CIG0252,Guantanamera  Cristales (5 Sticks per Box),Cigar,,,Cuba,,,,,Guantanamera,,,,,"[""oak""]",,0.892,"Guantanamera make a great introduction to Cuban Cigars. As with a good Malt Cuban Cigars are an acquired taste and can often prove overpowering to the less experienced Cigar smoker. The Guantanamera have been rolled using the highly regarded leaves from the Vuelta Arriba region of Cuba but the leaves have not been aged for as long, which means they have a less intense flavour and remain enjoyable for the less experienced, whilst giving a good insight into the flavours that make Cuban cigars so famous. The Guantanamera are machine made, which keeps the price tag more reasonable.","<div class=""prod-desc"">
<p>Guantanamera make a great introduction to Cuban Cigars. As with a good Malt Cuban Cigars are an acquired taste and can often prove overpowering to the less experienced Cigar smoker. The Guantanamera have been rolled using the highly regarded leaves from the Vuelta Arriba region of Cuba but the leaves have not been aged for as long, which means they have a less intense flavour and remain enjoyable for the less experienced, whilst giving a good insight into the flavours that make Cuban cigars so famous. The Guantanamera are machine made, which keeps the price tag more reasonable.</p>
</div>",,2500,validated,2,54,16,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LOT0038AB,LOT0038,Kozaemon  Shiroku Junmai Kabosu Sake (1.8 L),Others,,,Japan,,,,,Kozaemon,,,,,,Dessert,0.892,This is pure sake liqueur using Kabosu from Oita. It can be serve with ice to weaken its taste and a juice sense and hint is still present. It has moderate sweetness and juicy on a palate. Very suitable to be a gift item.,"<div class=""prod-desc"">
<p>This is pure sake liqueur using Kabosu from Oita. It can be serve with ice to weaken its taste and a juice sense and hint is still present. It has moderate sweetness and juicy on a palate. Very suitable to be a gift item.</p>
</div>",1800 ml (1.8 L),2500,validated,2,54,16,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing flavor_tags; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LOT0144DB,LOT0144,Yuzu Rocks (500 ml),Others,,,Japan,,,,,Yuzu,,,,,"Tonic, Yuzu",,1,"<p>A liqueur made from carefully selected domestic yuzu, made with yuzu spirits and yuzu aroma oil, and mixed with 15% yuzu juice. Carbonated and tonic water spilt by1:1. You can make you favourite cocktail with spirits such as gin and liqueur. A natural yuzu liqueur that is free of acidulants and synthetic frangrances.</p>","A liqueur made from carefully selected domestic yuzu, made with yuzu spirits and yuzu aroma oil, and mixed with 15% yuzu juice. Carbonated and tonic water spilt by1:1. You can make you favourite cocktail with spirits such as gin and liqueur. A natural yuzu liqueur that is free of acidulants and synthetic frangrances.",500 ml,1100,validated,2,54,16,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LOT0157FS,LOT0157,Kunizakari Obaa-Chan No Yuzushu (720 ml),Others,,,Japan,,,,,Kunizakari Obaa,,,,,"[""fruit""]",Dessert,1,"This bright yuzushu features 100% all-natural Japanese Yuzu bursting with sweet, tart acidity, citrus aromas of white grapefruit, lemon, and a kiss of peel bitterness. Best served chilled or with ice.",,,875,validated,2,54,13,15,15,5,6,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
MNA0114AE,MNA0114,Fever-Tree  Premium Pink Grapefruit Soda Water (200 ml) (Pack 24 Bottles),Non-Alcoholic,,,England,,,,,Fever-Tree,,,low,,,,1,"<p>Made with naturally sourced ingredients including handpicked red and pink grapefruit from the Quirante family-owned fields, in the province of Alicante, Spain, near the Mediterranean Sea. An impressive upfront burst of fresh grapefruit carefully balanced with the perfect levels of carbonation and real juice content provide a rounded base which complements the best premium tequilas and vodkas for a refreshing, light spritz.</p>","Made with naturally sourced ingredients including handpicked red and pink grapefruit from the Quirante family-owned fields, in the province of Alicante, Spain, near the Mediterranean Sea. An impressive upfront burst of fresh grapefruit carefully balanced with the perfect levels of carbonation and real juice content provide a rounded base which complements the best premium tequilas and vodkas for a refreshing, light spritz.",200 ml,1729,validated,2,54,19,15,15,5,0,wine,region; grape_variety; vintage; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing flavor_tags; Missing food_matching; Missing wine dimensions: wine_body, wine_tannin"
WRW6335BS,WRW6335,Rocca di Frassinello  Poggio alla Guardia,Red Wine,Intense ruby red.,,Italy,,,,,Rocca Di Frassinello,,Medium,Medium,Medium,,Beef|Lamb|Hard Cheese,0.714,"The benchmark wine, the third label, from the great project of Rocca di Frassinello. But a wine with a very marked personality, spicy but very easy to drink. An introduction to the company’s other labels of great aged wines. It is such a pleasure to drink that the quantities consumed are always high.",,,1259,validated,2,54,22,5,15,5,7,wine,region; grape_variety; vintage; desc_en_full,desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing flavor_tags
ABA0252CQ,ABA0252,"Jiggers  Black 7"" Stirrer with Disc Top  (250 piece per bag)",Accessories,,,,,,,,Jiggers,,,,,,,0.52,,"<div class=""prod-desc"">
<p>-</p>
</div>",,450,validated,2,55,26,5,10,10,4,accessories,desc_en_short,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing country; Missing region; Missing flavor_tags; Missing food_matching
ABA0265CQ,ABA0265,Jiggers  Bamboo heart picks (100 piece per bag),Accessories,,,,,,,,Jiggers,,,,,,,0.52,,"<div class=""prod-desc"">
<p>-</p>
</div>",,300,validated,2,55,26,5,10,10,4,accessories,desc_en_short,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing country; Missing region; Missing flavor_tags; Missing food_matching
CIG0175BT,CIG0175,Montecristo  Open Junior (Aluminum Tube),Cigar,,,Cuba,,,,,Montecristo,,,medium,,"[""oak""]",,1,"The Junior is a fresh and light in the smoke, the perfect walk-the-dog type of cigar. Very different from the classic Montecristo's, the Open line have added another dimension to this infamous family. The Junior is already smoking superbly. Thin in ring gauge, the Junior is gentle, never aggressive.","The Junior is a fresh and light in the smoke, the perfect walk-the-dog type of cigar. Very different from the classic Montecristo's, the Open line have added another dimension to this infamous family. The Junior is already smoking superbly. Thin in ring gauge, the Junior is gentle, never aggressive.",,1500,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_tannin"
CIG0245BT,CIG0245,Punch  Petit Coronation (Aluminum Tube),Cigar,,,Cuba,,,,,Punch,,,,,"[""fruit"",""earth"",""oak"",""floral""]",Dessert,0.892,"These little coronas exhibit great amounts of smoke right from the first draw. The start is cedar and oak with a floral hint. In the middle I found more woody notes with a vague citrus flavour and a sweet bean in there that I could not pin down, dammit! Leather taste is starting to build. The last third still exhibits some mild floral notes but with a heavy leather and tobacco end.","<div class=""prod-desc"">
<p>These cigars have always had good construction in my experience. I have smoked at least 20 of these and though I have had to adjust the burn on occasion, I have never had to relight one. Most are self correcting. Canoeing is never found. The draw is uniform across the whole lot I have smoked, that is, never loose, never tight. Be wary of where you cut these though as the cap can catch you out if you cut just that little too far.</p>
</div>",,1000,validated,2,57,16,15,15,5,6,wine,region; grape_variety; vintage; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
CIG0383BT,CIG0383,Vegafina  Nicaragua Toro Pigtail  ,Cigar,,,Dominican Republic,,,,,Vegafina,,,low,,"[""earth"",""oak""]",,1,"<p>VegaFina Nicaragua Gran Toro hand-rolled premium cigar is made exclusively with Nicaraguan tobacco. Banking on the success of the classic VegaFina line, Tabacalera de Garcia launched the Nicaragua blend. Solely made with tobaccos from the regions known for the richest leaf and aged for 4 years to produce a well-rounded smoke to remember. In fact, the expertly crafted blend containing Ligero, Seco, and Viso leaf from Estelí and Jalapa showcases just what the country’s</p>","VegaFina Nicaragua Gran Toro hand-rolled premium cigar is made exclusively with Nicaraguan tobacco. Banking on the success of the classic VegaFina line, Tabacalera de Garcia launched the Nicaragua blend. Solely made with tobaccos from the regions known for the richest leaf and aged for 4 years to produce a well-rounded smoke to remember. In fact, the expertly crafted blend containing Ligero, Seco, and Viso leaf from Estelí and Jalapa showcases just what the country’s",,1100,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_tannin"
CIG0398BT,CIG0398,Montecristo  Puritos (5 Sticks per Box),Cigar,,,Cuba,,,,,Montecristo,,,low,,"[""earth""]",,1,"The Montecristo Puritos remains true to the brand, retaining the typical characteristics of the factory's cigars: tobaccos sourced exclusively from the Vuelta Abajo region, with expressive, even aromas.","In 1913, Benjamin Menéndez Garcia took control of the Parra cigar factory, where he had been working for some time. After renaming it Menéndez y Cia. In 1923, he surrounded himself with members of his family and a talented cigar maker, ""Pepe"" Garcia. All the elements were now in place for the Montecristo adventure to begin.

However, it wasn't until 1935 and the purchase of the Particulares factory that Montecristo was born. The brand was built on simple elements, a luxurious yet sober presentation and impeccable craftsmanship. Success followed, and in 1937, Alonzo Menéndez bought the factory H. Upmann and transferred all production there. Montecristo became so well known that in 1955, the Bishop of Havana came to bless the factory.

It was also with Montecristo that Alfred Dunhill created its famous line, Montecristo Dunhill Seleccion Suprema. Montecristo remains one of the most widely distributed Cuban brands in the world.",,1300,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_tannin"
CIG0401BT,CIG0401,Cohiba  Short (10 Sticks per Box),Cigar,,,Cuba,,,,,Cohiba,,full,,,"[""earth""]",,1,"An exciting new size from one of the most prestigious cigar brands has joined the family of Cuban Minis, Puritos and Clubs. The Cohiba Short combines the length of a Cuban Mini with the width of a Puritos and is machine-made in Cuba using tobaccos from the same region reserved for Habanos.","Cohiba Cigars were introduced in 1968, and quickly became the flagship brand of the Cuban cigar industry. Developed initially as a medium bodied protocol cigar for presentation only by officials of the Cuban government, Cohiba cigars were marketed widely beginning in 1982. Originally 3 cigars were introduced in 1982 and amalgamated into the Classic range introduced in 1989. The initial sizes were the Cohiba Lancero, the Corona Especial and the Panetela, with the Esplendido, Robusto and Exquisito added in 1989.",,2900,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_acidity, wine_tannin"
CIG0402BT,CIG0402,Trinidad  Short (10 Sticks per Box),Cigar,,,Cuba,,,,,Trinidad,,,,low,"[""oak""]",,1,"<p>Trinidad Short like the Cohiba Shorts are the ideal choice for the smoker of mainstream cigarettes who wish to ""upgrade"" without a major leap in cost, or for the premium cigar smoker who would like to enjoy the unique taste of the classic smooth and creamy Trinidad cigars aromas during their now much briefer alfresco smoking breaks.</p>","Trinidad Short like the Cohiba Shorts are the ideal choice for the smoker of mainstream cigarettes who wish to ""upgrade"" without a major leap in cost, or for the premium cigar smoker who would like to enjoy the unique taste of the classic smooth and creamy Trinidad cigars aromas during their now much briefer alfresco smoking breaks.",,2900,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity"
LBE0286AX,LBE0286,Paulaner  Hefe Weissbier Naturtrub  500ml x 20,Beer,,,Germany,,,,NV,Paulaner,,,,,,"Pizza, Burgers, Fried Food, Spicy Cuisine",1,,,,4289,validated,2,57,20,5,15,10,7,beer,desc_en_short; desc_en_full; style,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing flavor_tags
LOT0024AB,LOT0024,Nakano BC  Kishu Hachimitsu Umeshu (720 ml),Others,,,Japan,,,,,Nakano BC,,,,low,"[""fruit""]",,0.892,Kishu is the best place for growing plum in Japan. This kishu hachimitsu umeshu is using premium plum and 100% pure orange honey. It has a nice fragrance of honey with a smooth plum's sour flavour. This kishu Hachimitsu should be enjoyed on the rockor chilled for straight.,"<div class=""prod-desc"">
<p>Kishu is the best place for growing plum in Japan. This kishu hachimitsu umeshu is using premium plum and 100% pure orange honey. It has a nice fragrance of honey with a smooth plum's sour flavour. This kishu Hachimitsu should be enjoyed on the rockor chilled for straight.</p>
</div>",720 ml,900,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity"
LOT0025AB,LOT0025,Nakano BC  Kishu Hachimitsu Umeshu (1.8 L),Others,,,Japan,,,,,Nakano BC,,,,low,"[""fruit""]",,0.892,Kishu is the best place for growing plum in Japan. This kishu hachimitsu umeshu is using premium plum and 100% pure orange honey. It has a nice fragrance of honey with a smooth plum's sour flavour. This kishu Hachimitsu should be enjoyed on the rockor chilled for straight.,"<div class=""prod-desc"">
<p>Kishu is the best place for growing plum in Japan. This kishu hachimitsu umeshu is using premium plum and 100% pure orange honey. It has a nice fragrance of honey with a smooth plum's sour flavour. This kishu Hachimitsu should be enjoyed on the rockor chilled for straight.</p>
</div>",1800 ml (1.8 L),1800,validated,2,57,19,15,15,5,3,wine,region; grape_variety; vintage; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity"
LOT0095AR,LOT0095,Shata Shuzou  Tengumai Umeshu (720 ml),Others,,,Japan,,,,,Umeshu,,,,,"[""fruit""]",Dessert,1,"Plum liqueur that were blended of highest grade plum, fructose, natural sugar from fruit. Fructose is sweeter than normal sugar 1.5 times but healthy. Suitable for those who care for calorie intake. Dry plum liqueur can be drunk on the rock, straight or mix with hot water.","Plum liqueur that were blended of highest grade plum, fructose, natural sugar from fruit. Fructose is sweeter than normal sugar 1.5 times but healthy. Suitable for those who care for calorie intake. Dry plum liqueur can be drunk on the rock, straight or mix with hot water.",,1530,validated,2,57,16,15,15,5,6,wine,region; grape_variety; vintage; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LTQ0168ER,LTQ0168,Código 1530  Tequila Rosa (750 ml),Tequila,,,Mexico,,,,NV,Código 1530,,,,,,"Mexican Cuisine, Ceviche, Grilled Fish, Citrus",1,,,,4400,validated,2,57,20,5,15,10,7,spirits,desc_en_short; desc_en_full; style,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing flavor_tags
LTQ0169ER,LTQ0169,Código 1530  Tequila Resposado (750 ml),Tequila,,,Mexico,,,,NV,Código 1530,,,,,,"Mexican Cuisine, Ceviche, Grilled Fish, Citrus",1,,,,5000,validated,2,57,20,5,15,10,7,spirits,desc_en_short; desc_en_full; style,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing flavor_tags
