sku,id,name,classification,brand,price,overall_confidence,country,region,subregion,gap_type,stage_order,applicability,ga_priority_rank,ga_priority_score,value_band,subregion_action,priority_score,priority_reason,priority_rank
ABA0574BM,,BarCraft  Deluxe Folding Bar Cart,Accessories,BarCraft,13990.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,13
ABA0643EJ,,Dometic  Presentation Shelf (595 mm),Accessories,Dometic,4000.00,0.82,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,14
AWC0076EJ,,Dometic Macave  S Series Dual Temp Zone S17G (Glass Door),Accessories,Dometic Macave,32000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,15
AWC0078EJ,,Dometic Macave  S Series Dual Temp Zone ST118G (Glass Door),Accessories,Dometic Macave,75500.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,16
AWC0079EJ,,Dometic Macave  F Series Dual Temp Zone S16FG (Frameless Glass Door),Accessories,Dometic Macave,66700.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,17
AWC0080EJ,,Dometic Macave  F Series Dual Temp Zone S40FGD (Frameless Glass Door),Accessories,Dometic Macave,88900.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,18
AWC0096EJ,,Dometic Macave  B Series One Temp Zone B29G (Glass Door),Accessories,Dometic Macave,34000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,19
AWC0097EJ,,Dometic Macave  B Series One Temp Zone B68G (Glass Door),Accessories,Dometic Macave,46000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,20
AWC0098EJ,,Dometic Macave  C Series One Temp Zone C20G (Glass Door),Accessories,Dometic Macave,38000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,21
AWC0099EJ,,Dometic Macave  C Series One Temp Zone C50G (Glass Door),Accessories,Dometic Macave,48000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,22
AWC0100EJ,,Dometic Macave  C Series One Temp Zone C101G (Glass Door),Accessories,Dometic Macave,82000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,23
AWC0101EJ,,Dometic Macave  C Series One Temp Zone C125G (Glass Door),Accessories,Dometic Macave,93000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,24
AWC0102EJ,,Dometic Macave  E Serie Dual Temp Zone E16FG (Glass Door),Accessories,Dometic Macave,45000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,25
AWC0103EJ,,Dometic Macave  E Serie Dual Temp Zone E28FG (Glass Door),Accessories,Dometic Macave,61000.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,26
AWC0104EJ,,Dometic Macave  E Serie Dual Temp Zone E40FGD (Glass Door),Accessories,Dometic Macave,66000.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,27
AWC0105EJ,,Dometic Macave  E Serie Dual Temp Zone E45FG (Glass Door),Accessories,Dometic Macave,66000.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,28
AWC0106EJ,,Dometic Macave  E Serie Dual Temp Zone E91FG (Glass Door),Accessories,Dometic Macave,110000.00,0.88,,Champagne,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,29
AWC0107EJ,,Dometic  E Serie Dual Temp Zone E115FG (Glass Door),Accessories,Dometic,120000.00,0.88,,Champagne,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,30
AWC0130EJ,,"Dometic   D18B Compressor Wine Cooler, Dual-Temp Zone, 18 Bottles (Design Range)",Accessories,Dometic   D18B Compressor Wine Cooler,39000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,31
AWC0131EJ,,"Dometic   C18B Compressor Wine Cooler, Dual-Temp Zone, 18 Bottles (Classic Range)",Accessories,Dometic   C18B Compressor Wine Cooler,49000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,32
AWC0132EJ,,"Dometic   D42B Compressor Wine Cooler, Dual-Temp Zone, 42 Bottles (Design Range)",Accessories,Dometic   D42B Compressor Wine Cooler,69000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,33
AWC0133EJ,,"Dometic  D46B Compressor Wine Cooler, Dual-Temp Zone, 46 Bottles (Design Range)",Accessories,Dometic  D46B Compressor Wine Cooler,59000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,34
AWC0134EJ,,"Dometic  C46B Compressor Wine Cooler, Dual-Temp Zone, 46 Bottles (Classic Range)",Accessories,Dometic  C46B Compressor Wine Cooler,69000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,35
AWC0143EJ,,"Dometic   D154F Compressor Wine Cooler, Dual-Temp Zone, 154 Bottles (Design Range)",Accessories,Dometic   D154F Compressor Wine Cooler,100000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,36
AWC0144EJ,,"Dometic   C154F Compressor Wine Cooler, Dual-Temp Zone, 154 Bottles (Classic Range)",Accessories,Dometic   C154F Compressor Wine Cooler,110000.00,0.88,,Bordeaux,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,37
AWC0146EJ,,Dometic  50Ltr Drawer Mini Bar,Accessories,Dometic,40000.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,38
GLQ0023BR,,Glencairn  Official Whisky Glass (Set of 6),Glassware,Glencairn,3800.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,39
LGN0347EI,,Sober Spirits  Gin Non-Alcoholic Beverage (500 ml),Gin,Sober Spirits,1999.00,0.68,,Caribbean,,country,1,actionable,,,mid_value,,295.00,country-first gap | spirits lane | mid value,40
LLQ0492EI,,Sober Spirits  Amaretto Non-Alcoholic Beverage (500 ml),Liqueur,Sober Spirits,1999.00,0.68,,Caribbean,,country,1,actionable,,,mid_value,,295.00,country-first gap | spirits lane | mid value,41
LRM0247EI,,Sober Spirits  Rum Non-Alcoholic Beverage (500 ml),Rum,Sober Spirits,1999.00,0.75,,Caribbean,,country,1,actionable,,,mid_value,,295.00,country-first gap | spirits lane | mid value,42
LRM0269AE,,Black Tot Finest Caribbean (700 ml),Rum,Black Tot,2119.00,0.68,,Caribbean,,country,1,actionable,,,mid_value,,295.00,country-first gap | spirits lane | mid value,43
LWH1139EI,,Sober Spirits  Whisky Non-Alcoholic Beverage (500 ml),Whisky,Sober Spirits,1999.00,0.68,,Caribbean,,country,1,actionable,,,mid_value,,295.00,country-first gap | spirits lane | mid value,44
WEV0072DJ,,"La Paulee de Bangkok 2025 @Grand Ballroom, Anantara Siam Bangkok Hotel (28 NOVEMBER 2025)",Events,La Paulee de Bangkok,3745.00,0.76,,Burgundy,,country,1,actionable,,,high_value,,290.00,country-first gap | high value,45
ABA0005BM,,Houdini by Rabbit  Aerating Decanter Set,Accessories,Houdini by Rabbit,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,46
ABA0009BM,,Metrokane  Houdini Chilling Carafe - Glass & Stainless,Accessories,Metrokane  Houdini Chilling Carafe,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,47
ABA0010BM,,Metrokane  Houdini Electric Cocktail Mixer - Red Lid,Accessories,Metrokane  Houdini Electric Cocktail Mixer,1090.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,48
ABA0017BM,,Metrokane  Rabbit 4-Piece Wine Tool Kit - Metallic Red,Accessories,Metrokane  Rabbit 4-Piece Wine Tool Kit,1190.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,49
ABA0018BM,,Metrokane  Rabbit 4-Piece Wine Tool Kit - Silver,Accessories,Metrokane  Rabbit 4-Piece Wine Tool Kit,1190.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,50
ABA0019BM,,Metrokane  Rabbit 4-Piece Wine Tool Kit - Velvet Black,Accessories,Metrokane  Rabbit 4-Piece Wine Tool Kit,1390.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,51
ABA0022BM,,Metrokane  Houdini Corkscrew - Silver,Accessories,Metrokane  Houdini Corkscrew,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,52
ABA0023BM,,Metrokane  Houdini Corkscrew - Velvet Black,Accessories,Metrokane  Houdini Corkscrew,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,53
ABA0026BM,,Metrokane  Rabbit Citrus Juicer - All-Chrome,Accessories,Metrokane  Rabbit Citrus Juicer,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,54
ABA0030BM,,Metrokane  Rabbit Flip-Top Cocktail Shaker - 24 Oz.,Accessories,Metrokane  Rabbit Flip-Top Cocktail Shaker,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,55
ABA0031BM,,Metrokane  Rabbit Flip-Top Cocktail Shaker - 16 Oz.,Accessories,Metrokane  Rabbit Flip-Top Cocktail Shaker,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,56
ABA0033BM,,Metrokane  Rabbit Barware Ice Bucket,Accessories,Metrokane,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,57
ABA0034BM,,Metrokane  Rabbit Barware Bar Tool Caddy - 6 Pieces,Accessories,Metrokane  Rabbit Barware Bar Tool Caddy,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,58
ABA0042BM,,Rabbit  Walnut Zippity 2-Step Corkscrew,Accessories,Rabbit,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,59
ABA0045BM,,Rabbit  Zippity Wine Tool Kit - Velvet Black,Accessories,Rabbit  Zippity Wine Tool Kit,1190.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,60
ABA0051BM,,Rabbit  Original Corkscrew - Velvet Black,Accessories,Rabbit  Original Corkscrew,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,61
ABA0052BM,,Rabbit  Original Corkscrew - Silver,Accessories,Rabbit  Original Corkscrew,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,62
ABA0053BM,,Rabbit  Original Corkscrew - Red,Accessories,Rabbit  Original Corkscrew,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,63
ABA0054BM,,Metrokane  Rabbit Wine Tool Kit - Black,Accessories,Metrokane  Rabbit Wine Tool Kit,2790.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,64
ABA0055BM,,Metrokane  Rabbit Wine Tool Kit - Silver,Accessories,Metrokane  Rabbit Wine Tool Kit,2790.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,65
ABA0069BM,,Rabbit  Wine Shower With Funnel - Stainless,Accessories,Rabbit  Wine Shower With Funnel,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,66
ABA0083BM,,Metrokane  Rabbit Electra Corkscrew 220 V - Black,Accessories,Metrokane  Rabbit Electra Corkscrew 220 V,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,67
ABA0084BM,,Metrokane  Rabbit Electra Corkscrew 220 V - Red,Accessories,Metrokane  Rabbit Electra Corkscrew 220 V,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,68
ABA0089BM,,Metrokane  Rabbit Electric Preserver - Shiny Black,Accessories,Metrokane  Rabbit Electric Preserver,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,69
ABA0090BM,,Metrokane  Rabbit Electric Preserver - Metallic Red,Accessories,Metrokane  Rabbit Electric Preserver,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,70
ABA0095BM,,Metrokane  Rabbit Wine Trek - Silver/Black,Accessories,Metrokane  Rabbit Wine Trek,1190.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,71
ABA0096BM,,Metrokane  Rabbit Wine Trek - Silver/Blue,Accessories,Metrokane  Rabbit Wine Trek,1190.00,0.88,,Champagne,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,72
ABA0097BM,,Metrokane  Rabbit Freezable Whiskey Glasses - S/2,Accessories,Metrokane  Rabbit Freezable Whiskey Glasses,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,73
ABA0101BM,,Metrokane  Rabbit Chilling Carafe - Black,Accessories,Metrokane  Rabbit Chilling Carafe,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,74
ABA0102BM,,Metrokane  Rabbit Chilling Carafe - Red,Accessories,Metrokane  Rabbit Chilling Carafe,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,75
ABA0106BM,,Rabbit  Wine Shower Funnel - Glass,Accessories,Rabbit  Wine Shower Funnel,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,76
ABA0108BM,,Metrokane  Rabbit Vertical Corkscrew - Grey,Accessories,Metrokane  Rabbit Vertical Corkscrew,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,77
ABA0112BM,,Metrokane  Rabbit Ice Crusher - Clear,Accessories,Metrokane  Rabbit Ice Crusher,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,78
ABA0116BM,,Metrokane  Complete Cheese Service - Bamboo/Stainless,Accessories,Metrokane  Complete Cheese Service,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,79
ABA0117BM,,Metrokane  Corkhaus - Bamboo/Chrome,Accessories,Metrokane  Corkhaus,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,80
ABA0128BM,,Metrokane  Rabbit Bar Tool Set - 3-Piece,Accessories,Metrokane  Rabbit Bar Tool Set,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,81
ABA0307CQ,,Jiggers  12oz Copper Plated Julep Cup,Accessories,Julep Cup,1020.00,0.82,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,82
ABA0317BM,,Zebag  6 Bottles (Black Color),Accessories,Zebag,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,83
ABA0318BM,,Zebag  6 Bottles (Grey Color),Accessories,Zebag,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,84
ABA0319BM,,Zebag  6 Bottles (Red Color),Accessories,Zebag,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,85
ABA0383BM,,Metrokane  Rabbit Twist to Lock Cocktail Shaker,Accessories,Metrokane,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,86
ABA0385BT,,Siglo  Cutter Siglo Twin Blade,Accessories,Siglo,1900.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,87
ABA0396BM,,Rabbit  Vertical Corkscrew with Foil Cutter - Red,Accessories,Rabbit  Vertical Corkscrew with Foil Cutter,2190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,88
ABA0415BM,,Koala  Set Picnic - Black,Accessories,Koala  Set Picnic,1090.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,89
ABA0420BM,,Koala  Duna Bucket - Transparent,Accessories,Koala  Duna Bucket,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,90
ABA0436BM,,Final Touch  Double-Wall Shot Glasses - Set of 4,Accessories,Final Touch  Double-Wall Shot Glasses,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,91
ABA0439BM,,Final Touch  Jigger Stoppers Set - Set of 4,Accessories,Final Touch  Jigger Stoppers Set,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,92
ABA0445BM,,Final Touch  Tiki Tumbler Glasses (Clear) - Set of 4,Accessories,Final Touch  Tiki Tumbler Glasses (Clear),1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,93
ABA0453BM,,GEFU  Carafe CASCADA,Accessories,GEFU,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,94
ABA0483BM,,Metrokane  Rabbit Cocktail Mixing Kit,Accessories,Metrokane,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,95
ABA0484BM,,Metrokane  Rabbit Align Bar Tool Set,Accessories,Metrokane,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,96
ABA0485BM,,Metrokane  Rabbit Twist to Lock Ice Bucket,Accessories,Metrokane,1990.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,97
ABA0487BM,,Koala  XXL Bucket - Transparent,Accessories,Koala  XXL Bucket,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,98
ABA0492BM,,Koala  Twins Bucket - Transparent,Accessories,Koala  Twins Bucket,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,99
ABA0493BM,,Koala Stainless Straws - Set of 20,Accessories,Koala Stainless Straws,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,100
ABA0494BM,,Koala  Stainless Straws Curved - Set of 20,Accessories,Koala  Stainless Straws Curved,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,101
ABA0495BM,,Koala  Apron long - Black,Accessories,Koala  Apron long,1090.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,102
ABA0509BM,,Koala  Set Wine Lovers - Gold,Accessories,Koala  Set Wine Lovers,1090.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,103
ABA0561BM,,Final Touch  Bartender Set - Knife & Zester,Accessories,Final Touch  Bartender Set,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,104
ABA0577BM,,BarCraft  Serving Tray Blue Brass Finish,Accessories,BarCraft,1590.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,105
ABA0579BM,,BarCraft  Ice Bucket - Stainless steel,Accessories,BarCraft  Ice Bucket,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,106
ABA0582BM,,BarCraft  Ice Bucket - Hammered stainless steel,Accessories,BarCraft  Ice Bucket,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,107
ABA0585BM,,BarCraft  Copper Finish (500 ml) Cocktail Shaker,Accessories,BarCraft,1090.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,108
ABA0586BM,,BarCraft  Boston (650 ml) Cocktail Shaker,Accessories,BarCraft,1390.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,109
ABA0587BM,,BarCraft  Boston (400 ml) Cocktail Shaker,Accessories,BarCraft,1190.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,110
ABA0590BM,,BarCraft  Gin Set,Accessories,BarCraft,2490.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,111
ABA0591BM,,BarCraft  Mojito Set - 4,Accessories,BarCraft  Mojito Set,1790.00,0.88,,,,country,1,actionable,,,mid_value,,285.00,country-first gap | mid value | high confidence context,112
LGN0001AA,,Sluar Major Johnson  Gin  (700 ml),Gin,Sluar Major Johnson,510.00,0.32,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,113
LLQ0252BU,,Phoenix  Triple Sec (700 ml),Liqueur,Phoenix,489.00,0.68,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,114
LLQ0469BU,,Phoenix  Peach (700 ml),Liqueur,Phoenix,469.00,0.62,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,115
LLQ0477BU,,Phoenix  Creme de Banana (700 ml),Liqueur,Phoenix,469.00,0.68,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,116
LRM0233BU,,Phoenix  White Rum (700 ml),Rum,Phoenix,469.00,0.50,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,117
LVK0143DR,,Eristoff  Premium Vodka (750 ml),Vodka,Eristoff,399.00,0.68,,,,country,1,actionable,,,core_value,,275.00,country-first gap | spirits lane,118
ABA0188CQ,,Jiggers  1 Litre Save n Serve Classic (Set of 6 piece),Accessories,Jiggers  1,1340.00,0.33,,,,country,1,actionable,,,mid_value,,270.00,country-first gap | mid value,119
ABA0192CQ,,Jiggers  1 Litre Save n Serve Professional (Set of 6 piece),Accessories,Jiggers  1,1410.00,0.52,,,,country,1,actionable,,,mid_value,,270.00,country-first gap | mid value,120
ABA0219CQ,,"Jiggers  Stainless Steel Ice Bucket with Lid, Double Wall",Accessories,Jiggers  Stainless Steel Ice Bucket with Lid,2300.00,0.52,,,,country,1,actionable,,,mid_value,,270.00,country-first gap | mid value,121
WEV0067AB,,"A Bordeaux Evening with Château La Fleur de Boüard @Bread Street Kitchen & Bar, ICONSIAM (16 October 2025)",Events,,2500.00,0.76,,Bordeaux,,country,1,actionable,,,mid_value,,270.00,country-first gap | mid value,122
WEV0073AA,,A Sunset Winery Journey @Sirimahannop Asiatique The Riverfront (22 NOVEMBER 2025),Events,,1000.00,0.76,,,,country,1,actionable,,,mid_value,,270.00,country-first gap | mid value,123
ABA0011BM,,Metrokane  Houdini Pocket Flask - Black,Accessories,Metrokane  Houdini Pocket Flask,795.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,124
ABA0015BM,,Metrokane  Houdini Flip-Top Cocktail Shaker - Gun-Metal Grey,Accessories,Metrokane  Houdini Flip-Top Cocktail Shaker,995.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,125
ABA0016BM,,Metrokane  Houdini Flip-Top Cocktail Shaker - Metallic Red,Accessories,Metrokane  Houdini Flip-Top Cocktail Shaker,995.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,126
ABA0024BM,,Metrokane  Houdini Wine Rack - 4 Bottles,Accessories,Metrokane  Houdini Wine Rack,595.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,127
ABA0028BM,,Rabbit  Wing Corkscrew - Chrome,Accessories,Rabbit  Wing Corkscrew,895.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,128
ABA0029BM,,Metrokane  Rabbit Electric Cocktail Mixer,Accessories,Metrokane,995.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,129
ABA0036BM,,Metrokane  Rabbit Wine Preserver W/2 Stoppers - Silver,Accessories,Metrokane  Rabbit Wine Preserver W/2 Stoppers,595.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,130
ABA0037BM,,Metrokane  Rabbit Wine Preserver W/2 Stoppers - Chrome,Accessories,Metrokane  Rabbit Wine Preserver W/2 Stoppers,795.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,131
ABA0038BM,,Metrokane  Houdini Wine Preserver W/2 Stoppers - Black,Accessories,Metrokane  Houdini Wine Preserver W/2 Stoppers,795.00,0.88,,,,country,1,actionable,,,core_value,,265.00,country-first gap | high confidence context,132
