sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,bottle_size,price,validation_status,enrichment_priority
ABA0661FW,ABA0661,The 4 Barmen  Cobbler Shaker 3 Piece (Brushed Silver) (500 ml),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.765,"The 4 Barmen Cobbler Shaker in Brushed Silver is a sleek, professional-grade 3-piece shaker set — refined matte finish, secure seal, and built-in strainer — ideal for crafting two-serve cocktails with precision and style.",,459,validated,3
ABA0665FW,ABA0665,The 4 Barmen  Weighted Boston Shaker Base (Brushed Silver) (700 ml),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.782,"The 4 Barmen Weighted Boston Shaker Base in Brushed Silver is a professional 700ml steel tin designed for use with a mixing glass — the preferred tool of competition bartenders for its speed, control, and satisfying heft.",,459,validated,3
ABA0667FW,ABA0667,The 4 Barmen  Weighted Boston Shaker Can (Brushed Silver) (500 ml),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.844,"The 4 Barmen Weighted Boston Shaker Can in Brushed Silver is the 500ml upper half of a professional Boston Shaker system — heavier than standard for a superior seal, with a matte brushed finish built for daily use.",,359,validated,3
ABA0676FW,ABA0676,The 4 Barmen  Modern Slim Jigger (Brushed Silver),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.782,"The 4 Barmen Modern Slim Jigger in Brushed Silver is a precision measuring tool for the serious home bartender — sleek, narrow profile for easy reading, with dual-sided measurements for accurate pours of standard cocktail volumes.",,339,validated,3
ABA0706FW,ABA0706,The 4 Barmen  Moscow Mule Cup without Handle (Mirrored Bronze) (500 ml),Accessories,,,,,,,,The 4 Barmen,,,,,"Ginger Beer, Ginger, Lime",,0.765,The 4 Barmen Moscow Mule Cup in Mirrored Bronze is a handleless copper-finish 500ml cup that keeps your Moscow Mule ice-cold and looks spectacular doing it — a premium barware piece that makes the classic cocktail experience complete.,,409,validated,3
ABA0711FW,ABA0711,The 4 Barmen  Absinthe Spoon (Brushed Silver),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.832,"The 4 Barmen Absinthe Spoon in Brushed Silver is a traditional slotted serving spoon for the classic absinthe drip ritual — elegant, functional, and the perfect finishing touch for a proper absinthe service.",,119,validated,3
ABA0728FW,ABA0728,The 4 Barmen  Zest Peeler (Brushed Silver),Accessories,,,,,,,,The 4 Barmen,,,,,"Citrus Peel, Grapefruit, Citrus, Orange, Lemon",,0.844,"The 4 Barmen Zest Peeler in Brushed Silver is a precision channel knife for cutting clean, professional citrus twists — an essential garnish tool for any bartender who takes cocktail presentation seriously.",,149,validated,3
ABA0733FW,ABA0733,The 4 Barmen  Bar Mat (Black Rubber) (46 x 30 cm),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.765,"The 4 Barmen Bar Mat in Black Rubber (46 × 30 cm) is a professional-grade service mat that protects your bar surface, absorbs spills, and provides a stable, non-slip work platform for mixing — a practical essential for any home or professional bar.",,599,validated,3
ABA0734FW,ABA0734,The 4 Barmen  Bar Mat (Black Rubber) (58 x 8 x 1 cm),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.832,"The 4 Barmen Bar Rail Mat in Black Rubber (58 × 8 × 1 cm) is a slim service rail mat designed to line the front edge of a bar counter — protecting glassware, reducing breakage, and giving the bar a clean, professional finish.",,319,validated,3
ABA0749FW,ABA0749,Vacu Vin  Double Hinged Corkscrew,Accessories,,,USA,,,,,Vacu Vin,,light,,low,"[""herbal""]",,0.892,The Vacu Vin Double Hinged Corkscrew opens a wine bottle in a two-step motion. The multi-purpose corkscrew opens cork and crown cork bottles.,,639,validated,3
ABA0764FW,ABA0764,Vacu Vin  Vacuum Wine Stopper (Set of 3),Accessories,,,USA,,,,,Wine,,,medium,,"[""herbal""]",,0.892,The Wine Stoppers preserve an opened bottle of wine under vacuum for up to 10 days. Use in combination with our Wine Saver.,,709,validated,3
ABA0769FW,ABA0769,Vacu Vin  Wine Set Premium (Set of 4),Accessories,,,,,,,,Wine,,light,,low,,,0.832,"The Vacu Vin Wine Set Premium contains 4 wine accessories to open, chill, serve and preserve your wine.",,1999,validated,3
ABA0789AB,ABA0789,Coravin   Timeless Six + Silver,Accessories,,,USA,,,,,Coravin,,,,,"[""mineral""]",,1.0,,,20720,validated,3
ABA0814FW,ABA0814,The 4 Barmen  Modern 3 Prong Ice Pick (Mirrored Silver  with Wooden Handle),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.782,"The 4 Barmen Modern 3 Prong Ice Pick combines a sharp triple-tine stainless steel head with a warm wooden handle — a precision tool for chipping, cracking, and sculpting ice blocks for craft cocktails and premium ice service.",,599,validated,3
AWC0126DY,AWC0126,Temptech  Collection Classic Single Zone 46 or 54 Bottle (Black),Accessories,,,USA,Bordeaux,,,,Temptech,,,,,"[""herbal"",""oak""]",,0.849,"<p>Wine cellars with single temperature zone, and capacity of 46 or 54 wine bottles. Freestanding or to be built in under the kitchen counter. Pull-out, wooden shelves and interior LED lighting.</p>
<ul>
<li>Modern design in stainless steel or black finish</li>
<li>46 or 54 bottles</li>
<li>Single zone</li>
<li>Pull-out, wooden shelves</li>
<li>Interior LED lighting and touch panel</li>
<li>UV-risistant glass door (Triple layer glass)</li>
</ul>
<p><span style=""color: #ff0000;""><strong>Free delivery for Bangkok Area. For other provinces, delivery fees are calculated based on distance.</strong></span></p>",,69500,validated,3
AWC0128DY,AWC0128,Temptech  Cigar Cabinet humidor,Accessories,,,,,,,,Temptech,,,low,,"[""oak""]",,0.832,"<p style=""font-weight: 300;""><strong>Cigars must be properly stored in the right temperature and humidity</strong><strong>.</strong></p>
<p style=""font-weight: 300;"">Ideal storage temperature for cigars is around 16-20 degrees and with a humidity of 60-70%. The humidor comes with three retractable cedar shelves, hygrometer, digital touch panel for temperature adjustment and internal LED lighting.</p>
<ul style=""font-weight: 300;"">
<li><strong>Stainless steel front</strong></li>
<li><strong>Temperature range 12</strong><strong>-</strong><strong>23°C</strong></li>
<li><strong>Appox</strong><strong>. </strong><strong>200 cigars</strong></li>
<li><strong>Cedar tree shelves</strong></li>
<li><strong>Hygrometer</strong></li>
<li><strong>Interior LED lighting</strong></li>
<li><strong>Thermoelectric cooling</strong></li>
<li><strong>Energy class A</strong><strong>+</strong></li>
<li><strong>Dim</strong><strong>. (</strong><strong>WxHxD</strong><strong>): </strong><strong>355x483x495</strong></li>
</ul>
<p style=""font-weight: 300;""> </p>
<p><span style=""color: #ff0000;""><strong>Free delivery for Bangkok Area. For other provinces, delivery fees are calculated based on distance.</strong></span></p>",,35500,validated,3
AWC0131EJ,AWC0131,"Dometic   C18B Compressor Wine Cooler, Dual-Temp Zone, 18 Bottles (Classic Range)",Accessories,,,,Bordeaux,,,,Dometic   C18B Compressor Wine Cooler,,,,,"[""oak"",""floral""]",,0.88,"<p> </p>
<p><strong><span style=""color: #ff0000;"">** Free delivery for Bangkok Area. For other provinces, delivery fees are calculated based on distance.</span></strong></p>
<p> </p>
<p>Compressor wine cooler, dual-zone, freestanding or built-in, 18 bottles Enhance your kitchen with this dual-zone wine cooler that can be freestanding or seamlessly built-in to create an elegant style in any home. It has room for 18 Bordeaux bottles attractively presented on FSC certified wooden shelves.</p>
<p> </p>
<p><strong class=""ql-size-large"">Elegant Classic Design</strong></p>
<p>Store your treasured wine collection in a beautifully designed Dometic wine cooler. With its stylish stainless steel details and attractive interior lighting, the Classic range of Dometic wine coolers complements any space. Allow the Dometic wine cooler to take center stage in your kitchen, enhance the esthetics of your home and enjoy wine at its very best.</p>
<p> </p>
<p><strong class=""ql-size-large"">Optimal Storage Environment</strong></p>
<p>For wine to unfold its full bouquet and flavor, both the storage conditions and the serving temperature must be right. Dometic wine coolers ensure the optimal environment for unlocking the wine's full flavors and charecter. The temperature is accurately controlled thanks to electronic regulation and a constant humidity is maintained between 50-70% ensuring the corks don't dry or mold. A fan circulates the air inside the wine cooler while the integrated carbon filters eliminates any potential odors. The low emission treatment of the triple-glazed doors on Dometic wine coolers stops ultraviolet rays that can damage and change the character of the wine.</p>",,49000,validated,3
CIG0388FY,CIG0388,Chesa Veglia  Celebtation,Cigar,,,Dominican Republic,,,,,Chesa Veglia,,,,low,"[""spice"",""earth""]",Dessert,1.0,,,1530,validated,3
CIG0390FY,CIG0390,Oscar Valladares  Super Fly Super Toro Maduro,Cigar,,,Honduras,,,,,Oscar Valladares,,,,low,"[""spice"",""earth"",""oak"",""floral""]",Dessert,1.0,,,1690,validated,3
CIG0391FY,CIG0391,Plasencia   Reserva Original Robusto,Cigar,,,Nicaragua,,,,,Plascencia,,,,,"[""earth"",""oak""]",,1.0,,,1310,validated,3
GBE0025BR,GBE0025,Spiegelau  Craft Beer IPA Beer Glass Set of 4,Glassware,,,,,,,,Spiegelau,,,,,,,0.88,"<p><strong>Spiegelau&nbsp; Craft Beer IPA Beer Glass Set of 4&nbsp;includes:</strong></p>
<p>4 x Spiegelau&nbsp; Craft Beer IPA Beer Glass</p>",,2269,validated,3
GBE0039BR,GBE0039,Spiegelau  Craft Beer Barrel Aged Beer Glass Set of 2,Glassware,,,,,,,,Spiegelau,,,,,"[""herbal""]",,0.88,"<p><strong>Spiegelau&nbsp; Craft Beer Barrel Aged Beer Glass Set of 2 includes:</strong></p>
<p>2 x Spiegelau&nbsp; Craft Beer Barrel Aged Beer Glass</p>",,1329,validated,3
GDC0044AB,GDC0044,Riedel  Decanter Cabernet Magnum,Glassware,,,Austria,,,,,Riedel,,,,,,,1.0,,,3500,validated,3
GLQ0022BR,GLQ0022,Glencairn Official Whisky Glass,Glassware,,,,,,,,Glencairn,,,,,,,0.88,"<p>The Glencairn Whisky Glass is a revolutionary whisky glass that really lets one savor the taste and complexity of fine whisky. These are great to use for any of your Single Malt Whisky's, Irish Whiskey's, and also your single barrel bourbons. With the tapered mouth, you are able to really smell all of the nuances the whisky has to offer. Any malt advocate will love this glass!</p>",,690,validated,3
GLQ0129AB,GLQ0129,Riedel  Drink Specific Glassware Double Rock Glass (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,,,,"[""oak""]",,1.0,,,1650,validated,3
GWN0123BR,GWN0123,Plumm  Vintage WHITE A,Glassware,,,Australia,,,,,Plumm,,,medium,,"[""fruit""]",,0.892,"The Plumm Vintage range provides a slice of everyday luxury for those who love drinking great wine minus the pomp and ceremony. Machine made from premium European crystal, this range brings both function and durability to a sleek and stylish form. Dishwasher friendly and destined to be used every day. Designed for Crisp Fresh White Wine.",,340,validated,3
GWN0124BR,GWN0124,Plumm  Vintage WHITE B,Glassware,,,Australia,,,,,Plumm,,,,,"[""fruit"",""oak""]",,0.892,"The Plumm Vintage range provides a slice of everyday luxury for those who love drinking great wine minus the pomp and ceremony. Machine made from premium European crystal, this range brings both function and durability to a sleek and stylish form. Dishwasher friendly and destined to be used every day. Designed for Medium Bodied & Oaked White Wine.",,340,validated,3
GWN0146AB,GWN0146,Riedel  Superleggero : Bordeaux Grand Cru,Glassware,,,Austria,Bordeaux,,,,Riedel,,full,,low,,,0.892,"Recommended for: Bordeaux (red), Brunello di Montalcino, Cabernet Franc, Cabernet Sauvignon, Carménère, Fronsac, Graves rouge, Listrac, Margaux, Médoc, Merlot, Montepulciano, Pauillac, Pessac Leognan (Rouge), Petit Verdot, Pomerol, St. Emilion, St. Estèphe, St. Julien, Tannat",,2000,validated,3
GWN0163AB,GWN0163,Riedel  Sommeliers Black Series ( R ) : Sparkling Wine,Glassware,,,Austria,Champagne,,,,Riedel,,,,,"[""floral""]",Pork,0.892,"<p>The champagne glass from the Sommeliers Black series impresses with a particularly thinly blown design with red stem and black base - every sip becomes a celebration.</p>
<p>Recommended for: Blanc de Blancs, Cava, Champagne, Franciacorta, Prosecco, Sekt, Sparkling wine</p>",,7000,validated,3
GWN0177AB,GWN0177,Riedel  Veritas : Cabernet / Merlot (Pack 2 Pieces),Glassware,,,Austria,Bordeaux,,,,Riedel,,,high,,,,0.892,"Recommended for: Bordeaux (red), Cabernet Franc, Cabernet Sauvignon, Fronsac, Graves rouge, Listrac, Margaux, Médoc, Merlot, Moulis, Pauillac, Pessac Leognan (Rouge), Pomerol, St. Emilion, St. Estèphe, St. Julien",,3000,validated,3
GWN0214AB,GWN0214,Riedel  Swirl : White Wine (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,,low,,,,0.832,-,,1500,validated,3
GWN0281BD,GWN0281,Lucaris  The Sparkle The Sparkling Set,Glassware,,,Thailand,,,,,Lucaris,,,,,"[""earth""]",,0.849,"‘Desire’ collection in collaboration with Hong Kong Sommelier Association (Greater China) won the, iF Design Award 2018 and China Good Design Award 2017 under Red Dot from Germany

Desire Sparkling with a pair hearth and tie of Aurora Borealis - Swarovski crystal-its on the base, enhance retention of bubbles and better bouquets of sparkling wine.",,799,validated,3
GWN0302AB,GWN0302,Riedel  Performance Champagne (Pack 2 piece),Glassware,,,Austria,Champagne,,,,Riedel,,light,,,,Red Meat|Pork,0.849,"The machine-made Champagne wine glass of the technologically advanced glass collection Performance is the new ultimate loudspeaker for fine wine. This glass allows the wide range of Champagne to unfold. The larger rim diameter enables the aromas of Champagne to be released, in a way which is not achieved when using a narrow flute. The glass also includes a 'sparkling point' to aid the formation of the Champagne bubbles. Performance is the first RIEDEL wine glass series ever to feature bowls with a light optic impact, which not only adds a pleasing visual aspect to the bowl, but also increases the inner surface area. All RIEDEL glasses are dishwasher safe.",,3100,validated,3
GWN0303AB,GWN0303,Riedel  Performance Syrah/Shiraz (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,light,,low,"[""fruit"",""oak""]",Red Meat|Dessert,0.849,"The machine-made Syrah and Shiraz glass of the technologically advanced glass collection Performance is the new ultimate loudspeaker for fine wine. The shape of the glass optimal delivers the classic aromas of toast and black olives, which are typical for wines made of Shiraz grapes. On the palate, it brings out the wine's silky, velvety structure and balanced flavours. The tannins melt into the fruit, appearing sweet rather than acerbic on the back palate. Performance is the first RIEDEL wine glass series ever to feature bowls with a light optic impact, which not only adds a pleasing visual aspect to the bowl, but also increases the inner surface area. All RIEDEL glasses are dishwasher safe.",,3100,validated,3
GWN0307AB,GWN0307,Riedel  Fatto a Mano Cabernet / Merlot Pink,Glassware,,,Austria,Bordeaux,,,,Riedel,,,,medium,,,0.849,"<p>""The exceptional handmade Cabernet and Merlot glass of the eye-catching glass collection Fatto A Mano stands out due to a pink stem. This glass showcases the majestically structured red wines in all their complexity and finesse. Combining the sophistication of handmade glass in the style of the ancient Venetian tradition with the very latest glass making technology. All RIEDEL glasses are dishwasher safe.""</p>
<p>"" Recommended for : Cabernet Sauvignon, St. Emilion, Listrac, Moulis, Margaux, St. Estèphe, Cabernet Franc, Fronsac, Merlot, Médoc, Graves rouge, Pauillac, St. Julien, Pomerol, Pessac Leognan (Rouge), Bordeaux (white)</p>",,5200,validated,3
GWN0315AB,GWN0315,Riedel  O Wine Tumbler : Riesling / Sauvignon Blanc (Pack 2 piece),Glassware,,,Austria,Loire Valley,,,,Riedel,,,low,,"[""oak"",""floral""]",,0.849,"<p>""The handy machine-made Riesling and Sauvignon Blanc glass of the space-saving glass collection O Wine Tumbler attracts attention through its stemless design. This makes it less susceptible to glass breakage and easy to put into the dishwaser. The shape of the glass best supports floral white wines &ndash; aroma and taste are dominated by fermented grape juice and the flavor of yeast. The modern stemless design fits wherever you need it to, whether it's in the dishwasher, the picnic basket, minibar or kitchenette. ""O"" is the ideal glass for everyday use and for every occasion. It is fun, feels good to hold, looks trendy and it works! All RIEDEL glasses are dishwasher safe. ""</p>
<p>"" Recommended for: Riesling Smaragd, Marsannay ros&eacute;, Pouilly Fum&eacute;, Welschriesling, Sauvignon Blanc (unoaked), Loire (Blanc), Dolcetto, Teroldego, Traminer, Bardolino, Montepulciano, Riesling, Juran&ccedil;on Sec, Riesling (Sp&auml;tlese/late harvest dry), C&ocirc;tes de Provence, Lagrein, Scheurebe, Schilcher, Sancerre, Beaujolais Nouveau, Mosel-Saar-Ruwer, Alsace Grand Cru, C&ocirc;tes du Rh&ocirc;ne Ros&eacute;, M&uuml;ller-Thurgau, Vernaccia, Gr&uuml;ner Veltliner, Blauer Portugieser, Zinfandel, Primitivo, Smaragd, Ros&eacute;</p>",,1500,validated,3
GWN0317AB,GWN0317,Riedel  O Wine Tumbler : Viognier / Chardonnay (Pack 2 piece),Glassware,,,Austria,Bordeaux,,,,Riedel,,,low,low,"[""fruit"",""oak"",""mineral""]",Spicy Food,0.849,"<p>""The handy machine-made Viognier and Chardonnay glass of the space-saving glass collection O Wine Tumbler attracts attention through its stemless design. This makes it less susceptible to glass breakage and easy to put into the dishwaser. The classic RIEDEL shape allows young wines to express all their invigorating freshness, while more mature wines are encouraged to deliver the nutty, spicy, mineral flavors. This glass is designed that the low acidity is delivered in a way that sets off the alcohol and rich flavors of the wine, highlighting its velvety, supple texture, emphasizing the fruit and ensuring a long, balanced finish. ""O"" is the ideal glass for everyday use and for every occasion. It is fun, feels good to hold, looks trendy and it works! All RIEDEL glasses are dishwasher safe. ""</p>
<p>"" Recommended for: Ribolla Gialla, Pessac Leognan (Blanc), Chardonnay (unoaked), Chablis, Bordeaux (red), Condrieu, Pinot (Blanc, Grigio, Gris), Grenache Blanc/Granacha Blanca, Albari&ntilde;o, Muscadet, Verdicchio, Trebbiano, C&ocirc;tes du Rh&ocirc;ne Blanc, Brandy, Fallanghina, Cortese, Fiano, Neuburger, Ch&acirc;teauneuf-du-Pape (blanc), Orvieto Classico, Macabeo, Aligot&eacute;, Fum&eacute; Blanc, Viognier, Greco di Tufo, Hermitage (Blanc), S&eacute;millon, Muscadine, Montagny, St. Joseph (White), Palomino (except Sherry), Morillon (unoaked), Soave, Sauvignon Blanc (oaked), Melon de Bourgogne (Muscadet), Graves blanc, Marsanne, Vin de Savoie (blanc), Verdelho</p>",,1500,validated,3
GWN0361AB,GWN0361,Riedel  Fatto A Mano Performance Cabernet Black Base Glass,Glassware,,,Austria,,,,,Riedel,,,,low,,,1.0,,,5000,validated,3
GWN0380BM,GWN0380,Final Touch  Conundrum White Wine Glasses  (Set of 4),Glassware,,,,,,,,Wine,,,,,,,0.88,Mouthblown Conundrum Glasses are not your average stemless! Each glass is hand crafted with sleek curves making it comfortable to hold and a better wine tasting experience.,,1990,validated,3
GWN0409AB,GWN0409,Riedel  Veloce Riesling (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,,medium,,"[""mineral""]",,1.0,,,3250,validated,3
LAB0005AA,LAB0005,La Fee  Blanche (700 ml),Liqueur,,,France,,,,NV,La Fee,,,,,"[""spice"",""herbal"",""oak""]",Dessert,0.892,"La Fee classic Blanche (clear) absinthe, displays a more pronounced fennel character, with less anis. No sugar is required for the traditional serve, as Blanche has a naturally softer, sweeter character.",700 ml,2899,validated,3
LAB0009AE,LAB0009,La Maison Fontaine  Absinthe Blanche (700 ml),Liqueur,,Herbal Liqueur,France,,,,NV,La Maison Fontaine,,,medium,low,"[""herbal"",""floral""]",Dessert,0.892,"The Worlds most awarded blanche absinthe, is masterfully refined using an array of natural herbs including our world-renowned Pontarlier-grown Grande Absinthe. Sweet and refreshing taste characterised by rich floral notes with hints of lemon and mint, Fontaine Blanche is a classic absinthe with a contemporary twist.",700 ml,3589,validated,3
LAB0012AH,LAB0012,Grande Absinthe  (350 ml),Liqueur,,Herbal Liqueur,France,Provence,,,NV,Grande Absinthe,,,,,"[""herbal""]","Desserts, Coffee, Cocktails",0.849,"A vividly green Absinthe, Grand Absente Original is made to a pre-ban recipe at Distilleries et Domaines in Provence. This uses artisanal distillation techniques and local botanicals.",350 ml,1419,validated,3
LAB0013AH,LAB0013,Van Gogh Absente (700 ml),Liqueur,,,France,,,,NV,Absinthe Absente,,light,medium,,"[""spice"",""herbal"",""oak""]",Dessert|Spicy Food,1.0,,700 ml,2379,validated,3
LAB0017AH,LAB0017,Absente Fluo 26 Degree  (700 ml),Liqueur,,,France,,,,NV,Grande Absinthe,,,,,"[""spice"",""herbal"",""oak""]","Desserts, Coffee, Cocktails",1.0,,700 ml,1449,validated,3
LBD0008CN,LBD0008,Remy Martin  Louis XIII (700 ml),Brandy,,,France,Champagne,,,NV,Remy Martin,,,,,"[""oak""]",Pork,0.892,"<p>The LOUIS XIII Classic decanter has remained the ultimate expression of our finest eaux-de-vie blend since 1874, containing up to 1,200 eaux-de-vie from Grande Champagne terroir.</p>
<p>Up to 1,200 eaux-de-vie, made using grapes grown in Grande Champagne &ndash; the premier cru of the Cognac region &ndash; are carefully blended over the years to create the cognac inside every LOUIS XIII Classic decanter. Provenance and time are the very essence of LOUIS XIII cognac. Each drop represents a finely tuned craft passed down from one generation of Cellar Master to the next.</p>
<p>The eaux-de-vie are slowly aged in old Limousin tier&ccedil;ons (traditional aged French oak casks). Every sip is a taste of time.</p>",700 ml,188999,validated,3
LBD0009CN,LBD0009,Remy Martin  X.O Excellence (700 ml),Brandy,,,France,Cognac,,,NV,Remy Martin,,full,,low,"[""floral""]",Spicy Food,0.892,"<p>The taste of excellence. Enjoy the true pleasure of its supreme richness. The myriad of aromas of floral, fruity and spicy tones. Velvety texture, opulent density, giving a superior mellow. A sumptuous blend of opulent aromas and velvet textures.</p>
<p><strong>Awards :</strong></p>
<ul>
<li><strong>Silver Medal : San Francisco World Spirits Competition -2018</strong></li>
<li><strong>Silver Medal : International Wine & Spirit Competition - 2017</strong></li>
<li><strong>Silver Medal : <strong>International Spirits Challenge - 2018</strong></strong></li>
</ul>",700 ml,9359,validated,3
LBD0017EQ,LBD0017,Camus  Cognac XO Borderies (700 ml),Brandy,,Cognac XO,France,Cognac,,,NV,Camus,,full,,low,"[""spice"",""oak"",""floral""]",Red Meat|Dessert,0.849,"<p><span style=""color: #ff0000;""><strong>* Buy Camus Cognac XO Borderies (700 ml) > Get 1 Camus Copper Nosing Glasses</strong></span></p>
<p><span style=""color: #ff0000;""><strong><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://th.wine-now.com/media/Camus_Copper_Nosing_Glasses-min.jpg"" alt="""" width=""300"" height=""300"" /></strong></span></p>
<p>Borderies XO is powerful, rich and creamy with a particularly velvety texture. It reveals intense sweet pastry aromas alongside notes of cinnamon, dried fruit, old port and violet. A hint of almond emerges in the long-lasting finish.</p>
<p><strong>Awards :</strong></p>
<ul>
<li><strong>Gold Medal : San Francisco World Spirits Competition - 2017</strong></li>
<li><strong><strong>Gold Medal : San Francisco World Spirits Competition - 2016</strong></strong></li>
<li><strong>Gold Medal : International Wine & Spirit Competition - 2015</strong></li>
<li><strong>Gold Medal : International Spirits Challenge - 2017</strong></li>
</ul>",,8395,validated,3
LBD0024BU,LBD0024,Martell  V.S.O.P (700 ml),Brandy,,,France,Cognac,,,NV,Martell,,,low,low,"[""fruit"",""earth"",""oak""]",Dessert,0.849,"<p>A balanced cognac, marked by an oaky taste. Its time spent ageing in a barrel infuses it with complex aromas along with notes of caramelised dried fruits and prunes. This tone adds a number of rich qualities to a cocktail.</p>
<p><strong>Awards :</strong></p>
<ul>
<li><strong>Silver Medal : International Wine & Spirit Competition - 2017</strong></li>
<li><strong>Silver Medal : San Francisco World Spirits Competition - 2016</strong></li>
<li><strong>Gold Medal : Concours Mondail de Bruxelles - 2016</strong></li>
</ul>",,3145,validated,3
