tier_slug,tier_label,sku,name,brand,vintage,country,region,classification,price_thb,search_query,found_score,critics_found,source_domains,page_class,notes
whisky,Whisky,LWH0213CN,Wild Turkey  Rare Breed (750 ml),Wild Turkey,NV,USA,Kentucky,Whisky,3309.0,Wild Turkey Wild Turkey  Rare Breed (750 ml) NV,,,,,
whisky,Whisky,LWH0333BU,Royal Salute  21 years (700 ml) (Green Wade Decanter),Royal Salute,NV,Scotland,Scotland,Whisky,7999.0,Royal Salute Royal Salute  21 years (700 ml) (Green Wade Decanter) NV,,,,,
whisky,Whisky,LWH1099BU,Royal Salute  21 years  Quinn Black Edition (700 ml),Royal Salute,NV,Scotland,Speyside,Whisky,13995.0,Royal Salute Royal Salute  21 years  Quinn Black Edition (700 ml) NV,,,,,
sake_shochu,Sake/Shochu,LSJ0046DB,Kagoshima Brewery  Yakiimo Kurose (1.8 L),Kagoshima Brewery,NV,Japan,Kagoshima,Sake/Shochu,2429.0,Kagoshima Brewery Kagoshima Brewery  Yakiimo Kurose (1.8 L) NV,,,,,
sake_shochu,Sake/Shochu,LSK0223DB,Kotsuzumi  Rojoh-Hana-Ari Aoi (720 ml),KOTSUZUMI,NV,Japan,Kumamoto,Sake/Shochu,3200.0,KOTSUZUMI Kotsuzumi  Rojoh-Hana-Ari Aoi (720 ml) NV,,,,,
sake_shochu,Sake/Shochu,LSK0115AB,Dassai  Junmai Daiginjou Migaki Sanwari Kyubu 39 (300 ml),Dassai,NV,Japan,Yamaguchi,Sake/Shochu,900.0,Dassai Dassai  Junmai Daiginjou Migaki Sanwari Kyubu 39 (300 ml) NV,,,,,
sake_shochu,Sake/Shochu,LSJ0052DB,Kagoshima Brewery  Akuma No Houyou (720 ml),Kagoshima Brewery,NV,Japan,Kagoshima,Sake/Shochu,1689.0,Kagoshima Brewery Kagoshima Brewery  Akuma No Houyou (720 ml) NV,,,,,
gin_vodka_rum,Gin/Vodka/Rum,LVK0145BU,Finlandia  Vodka Cranberry (750 ml),Finlandia,NV,Finland,,Vodka,839.0,Finlandia Finlandia  Vodka Cranberry (750 ml) NV,,,,,
gin_vodka_rum,Gin/Vodka/Rum,LLQ0487ER,Strange Luve Negroni (700 ml),Strange Luve,,Belgium,,Gin,1050.0,Strange Luve Strange Luve Negroni (700 ml),,,,,
gin_vodka_rum,Gin/Vodka/Rum,LGN0027BU,Monkey 47  Sloe Gin (500 ml),Monkey 47,,Germany,Black Forest,Gin,2299.0,Monkey 47 Monkey 47  Sloe Gin (500 ml),,,,,
gin_vodka_rum,Gin/Vodka/Rum,LRM0093AD,Issan Rum  (700 ml),Issan Rum,,Thailand,Issan,Rum,1039.0,Issan Rum Issan Rum  (700 ml),,,,,
