# QUARANTINED — UNSOURCED INFERRED FLAVOR TAGS — DO NOT PUBLISH
#
# Written 2026-07-27. These 70 tag sets were derived from grape + region +
# appellation knowledge, NOT from a per-bottle source (no producer tasting note,
# no critic note, no verified reference).
#
# The catalog standard is item-level validated real data. These do not meet it.
# They are kept ONLY as a research starting point: each row must be replaced by
# tags read from a real source, with that source URL recorded, before any publish.
#
# Compare the accepted standard in product_engine_upload_from_t2_research.csv:
#   upload_notes: "Official producer tasting notes used. | Sources: https://..."
#
# Format: SKU|inferred_tags (UNVERIFIED)

WWW4795AA|white peach, ripe pear, citrus, acacia blossom, light vanilla, toasted almond, rounded body, long finish
WWW4858AD|white peach, grapefruit, citrus zest, nectarine, light toasted oak, cashew, fine acidity, long mineral finish
WWW5122AA|muscat grape, orange blossom, white peach, sage, honey, ripe pear, delicate fizz, sweet aromatic finish
WWW5302AB|dried apricot, orange peel, honey, chamomile, ginger spice, nutty note, gentle grip, textured dry finish
WWW5412FJ|white peach, apricot, honeysuckle, citrus blossom, ripe pear, soft spice, rounded body, aromatic finish
WWW5474AB|green apple, lemon zest, white flower, volcanic ash minerality, saline note, dried herb, taut acidity, long dry finish
WWW5952GW|grapefruit, lemon, green apple, fresh cut grass, white flower, light citrus zest, crisp acidity, clean dry finish
WWW6005GW|ripe apple, yellow peach, melon, citrus, light vanilla, soft creamy texture, gentle acidity, smooth finish
WWW6042AD|grapefruit, lemon zest, green apple, white flower, sea-salt minerality, fresh herb, crisp acidity, clean dry finish
WWW6062AB|green apple, pear, peach, light citrus, grape sweetness, soft floral note, light body, clean short finish
WWW6063AB|gooseberry, passionfruit, lime, fresh cut grass, green apple, bright acidity, very light body, clean crisp finish
WWW6126AB|yellow apple, pear, peach, light citrus, grape sweetness, soft texture, light body, clean gentle finish
WWW6221AP|green apple, pear, lemon citrus, white flower, light almond, fresh acidity, light body, clean crisp finish
