sku,name,classification,country,region,subregion,short_description,description,updated_at,magento_readiness,quality_blockers,quality_warnings,current_validation_status,enrichment_quality_grade,review_priority,popularity_revenue_90d,popularity_orders_90d,wn_stock
WRW7637GU,Casal Bordino Collezione Montepulciano d'Abruzzo,Red Wine,Italy,Abruzzo,Montepulciano d’Abruzzo,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,4
WWW0080AH,Banrock Station  Moscato,White Wine,Australia,Riverland,Riverland,"Aromatic Australian Moscato with floral, lychee, and stone-fruit notes. Light, refreshing, and naturally sweet.","<p>Banrock Station Moscato is a light-bodied, off-dry white wine from Australia's Riverland region, crafted from Muscat grapes. The wine opens with pronounced floral and honeysuckle aromatics, followed by lychee, peach, and tropical-fruit notes on the palate. A subtle honey sweetness and bright citrus acidity create a refreshing, approachable profile ideal for casual enjoyment or pairing with Asian cuisine and light desserts.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,4
LBD0184DD,ST Agnes  V.S.O.P (700 ml),Wine product,Australia,,,,ST Agnes  V.S.O.P (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,3
LRM0161ES,Phraya  Elements Rum (700 ml),Wine product,Thailand,,,,Phraya  Elements Rum (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,3
WRS0237AH,Banrock Station  Pink Moscato,Rose Wine,Australia,Riverland,Riverland,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,needs_review,,HIGH,0,0,3
WRW1002AD,Zonin  Lambrusco,Sparkling Wine,Italy,Emilia-Romagna,Emilia-Romagna,"Vibrant Italian sparkling with red berries, crisp acidity, and fine bubbles—perfect for celebrations and Asian cuisine.","<p>Zonin's Lambrusco is a lively sparkling wine from Emilia-Romagna, Italy's historic heartland of effervescent reds. Bright red fruit dominates the palate, supported by crisp acidity and delicate bubbles that dance on the tongue. Notes of berries and citrus zest give way to subtle brioche complexity, making this wine equally at home as an aperitif or paired with spicy Asian dishes, dim sum, and light appetizers.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,B,HIGH,0,0,3
WRW1039AD,Wolf Blass  Eaglehawk Shiraz,Red Wine,Australia,Barossa Valley,Barossa Valley,"Barossa Valley Shiraz with ripe blackberry, plum, and subtle oak—a food-friendly medium-full red for fine dining.","<p>Wolf Blass Eaglehawk Shiraz from Barossa Valley delivers a classic Australian expression of the varietal. Ripe blackberry and plum dominate the palate, supported by vanilla and oak from winemaking, with black pepper spice and a whisper of smoke adding complexity. Medium-full body and balanced tannin make this wine approachable yet structured, ideal for pairing with grilled red meat, braised beef, or roasted poultry. A reliable, well-crafted choice for everyday fine dining and special occasions alike.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,3
WRW1040AD,Wolf Blass  Eaglehawk Cabernet Sauvignon,Red Wine,Australia,Barossa Valley,Barossa Valley,"Barossa Valley Cabernet with ripe dark fruit, vanilla oak, and peppery spice—a food-friendly classic.","<p>Wolf Blass Eaglehawk Cabernet Sauvignon from Barossa Valley delivers a medium-full-bodied expression of Australia's signature red-wine style. Ripe blackberry and plum dominate the primary aromatics, supported by secondary notes of vanilla and toasted oak from careful winemaking. A subtle tertiary layer of smoke and black pepper adds complexity and structure. The wine's balanced tannin and medium acidity make it an approachable yet serious partner for grilled meats, braised beef, and roasted lamb.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,3
WRW5350DD,Botter  Primitivo Puglia (Organic Wine),Red Wine,Italy,Puglia,Puglia,"Organic Primitivo from Puglia: bold, fruit-driven red with smooth tannins and peppery spice. Excellent value for everyday drinking.","<p>Botter's Primitivo from Puglia delivers a bold, fruit-forward expression of this southern Italian varietal. Dark cherry and raspberry dominate the palate, supported by subtle smoke and black pepper notes that add complexity without overwhelming. The wine's medium-full body and rounded tannin structure create a smooth, approachable mouthfeel—ideal for casual entertaining and food-friendly occasions. Organic certification reflects sustainable viticulture in the warm Puglian climate, where Primitivo thrives. This is an unpretentious, well-made red that prioritizes drinkability and value.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,3
WSP1233AD,Wolf Blass  Eaglehawk Cuvee Brut,Sparkling Wine,Australia,Barossa Valley,Barossa Valley,"Elegant Australian sparkling with green apple, citrus, and brioche complexity. Versatile aperitif and seafood companion.","<p>Wolf Blass Eaglehawk Cuvée Brut is a refined Australian sparkling wine from the Barossa Valley, crafted from Chardonnay to deliver bright, food-friendly character. The wine opens with primary notes of green apple and citrus zest, followed by secondary winemaking complexity of brioche and toasted oak. A mineral backbone and medium-high acidity provide structure and elegance, making this cuvée equally at home as an aperitif or paired with seafood and delicate cuisine. The non-vintage format ensures consistent quality and approachability across releases.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,3
WWW4855AD,Wolf Blass  Eaglehawk Chardonnay,White Wine,Australia,Barossa Valley,Barossa Valley,"Barossa Valley Chardonnay with ripe stone fruit, citrus, and elegant oak—a versatile white for fine dining.","<p>Wolf Blass Eaglehawk Chardonnay from Barossa Valley presents a medium-full-bodied white wine with balanced acidity and subtle complexity. The primary character showcases ripe green apple, citrus zest, and stone fruit, complemented by secondary notes of vanilla oak, butter, and toasted hazelnut. A touch of minerality emerges on the finish, adding refinement and food-friendliness. This wine bridges casual enjoyment and fine-dining occasions, pairing well with shellfish, cream-based pasta, roasted poultry, and aged cheeses.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,3
WWW6232AF,Las Condes  Sauvignon Blanc,White Wine,Chile,Central Valley,,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,needs_review,,HIGH,0,0,3
GWN0251BR,Spiegelau  Salute Champagne Glass,Wine product,Germany,Champagne,,,Spiegelau  Salute Champagne Glass,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,2
LBD0113BU,Hennessy  V.S (With Box) (700 ml),Wine product,France,Cognac,Cognac,"Founded 1765 on the Charente; VS matured in new Limousin oak, distilled on-lees for a richer, congener-dense house signature across four crus.","<p>When Maurice Hennessy codified the VS star-rating system, he wasn't simply labeling a product — he was establishing the vocabulary by which the entire cognac industry would grade itself for generations. That institutional confidence is baked into the spirit itself. <strong>Ugni Blanc grapes</strong>, harvested from over 1,500 independent partner growers across <strong>Grande Champagne, Petite Champagne, Borderies, and Fins Bois</strong>, are fermented with native wild yeast for 5–7 days — no added sugar, no sulphur — producing a deliberately thin, high-acid base wine of 8–10% ABV designed to drive the alembic charentais hard. <strong>Double distillation in traditional Charentais copper pot stills</strong> concentrates the spirit to ~70% ABV; crucially, Hennessy distills both with and without lees and reintroduces heads and tails into the brouillis on the second pass — a deliberate congener-loading decision that separates its profile from Martell's lees-free, lighter approach. <strong>VS is matured in new Limousin oak</strong> from Hennessy's own forests (trees felled at 80+ years), coopered by hand in-house at a rate of 400–500 barrels per year. Cellars near the humid Charente riverbank yield rounder eaux-de-vie; drier inland chais contribute structure. The result is a dark-fruited, oak-forward entry-tier expression that carries the full weight of the house's assertive style — unusual at the VS minimum two-year age threshold.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,2
LGN0061CM,Iron Balls Gin (700 ml),Wine product,Thailand,,,,Iron Balls Gin (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LGN0263AV,Sod Chaeng  Gin (750 ml),Wine product,Thailand,Chiang Mai,Northern Thailand,,Sod Chaeng  Gin (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,2
LGN0314GD,Kosapan Gin (700 ml),Wine product,Thailand,,,,Kosapan  Botanicals Gin (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LGN0347EI,Sober Spirits  Gin Non-Alcoholic Beverage (500 ml),Wine product,France,,,,Sober Spirits  Gin Non-Alcoholic Beverage (500 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LRM0113AE,Diplomatico  Planas (700 ml),Rum,Venezuela,Lara,,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,needs_review,,HIGH,0,0,2
LRM0203AV,Sod Chaeng  Rum (750 ml),Wine product,Thailand,,,,Sod Chaeng  Rum (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LRM0205ER,Sangvein  Rum (700 ml),Wine product,Thailand,,,,Sangvein  Rum (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,needs_review,,HIGH,0,0,2
LRM0254DG,Chalong Bay  Pride (700 ml),Wine product,Thailand,Phang Nga,Chalong Bay,,Chalong Bay  Pride (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,2
LTQ0033CN,Jose Cuervo  Especial Reposado (700 ml),Tequila,Mexico,Jalisco,Tequila,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,2
LTQ0061BU,Sierra  Reposado (700 ml),Wine product,Mexico,,,,Sierra  Reposado (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LTQ0241ER,Dos Companeros  Silver Tequila (700 ml),Wine product,Mexico,Tequila,,,Dos Companeros  Silver Tequila (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,2
LVK0646BU,Gilbey's  Vodka (700 ml),Wine product,England,,,,Gilbey's  Vodka (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LVK0647BU,Gilbey's  Vodka (1 L),Wine product,England,,,,Gilbey's  Vodka (1 L),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
LWH1094ER,Moonshine Runners  Blended Scotch Whisky (700 ml),Wine product,Scotland,,,,Moonshine Runners  Blended Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,2
WDW0001AA,Batasiolo  Moscato Spumante Dolce,Sparkling Wine,Italy,Piedmont,Piedmont,"Aromatic Moscato Spumante from Piedmont with lychee, peach, and honeyed florals—elegant aperitif sparkle.","<p>Batasiolo's Moscato Spumante Dolce is a lightly sparkling wine from Piedmont's renowned Moscato region, crafted entirely from the Moscato grape. The wine opens with pronounced lychee and peach aromatics, complemented by delicate floral notes and honeyed sweetness. Fine, persistent bubbles deliver a graceful mouthfeel, while bright acidity provides balance to the wine's inherent sweetness. The brioche undertone from the sparkling process adds subtle complexity without overwhelming the fruit-forward character.</p><p>This is a quintessential Italian aperitif wine—approachable, aromatic, and versatile at table. Its light body and moderate sweetness make it equally at home as an opening glass or paired with fruit-based desserts and Asian cuisine.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,B,HIGH,0,0,2
WRS0214DD,Notte Rossa  Primitivo Rosato Salento IGP,Rose Wine,Italy,Puglia,Salento,,Notte Rossa  Primitivo Rosato Salento IGP,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,2
WRW4354CB,Luigi Bosca  Malbec,Red Wine,Argentina,Mendoza,Mendoza,"Argentine Malbec from Mendoza with ripe blackberry, plum, and cocoa; medium-full body and smooth tannins.","<p>Luigi Bosca Malbec is a full-flavored Argentine red from Mendoza, showcasing the signature richness and structure of the region's flagship varietal. Aromas of blackberry and plum dominate the nose, complemented by violet florality and cocoa undertones from French oak aging. On the palate, the wine displays medium-full body with well-integrated, smooth tannins and balanced acidity. Earthy minerality and subtle spice notes add complexity and food-friendliness. This is a versatile, approachable Malbec suited to grilled meats, braised dishes, and casual entertaining.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,2
WWW2349CB,Bread & Butter  Chardonnay,White Wine,USA,Napa Valley,Napa Valley,A winemaking manifesto in a bottle: 100% MLF plus dual-oak aging built to revive California's buttery Chardonnay archetype at scale.,"<p>When Gregory Ahn launched Bread &amp; Butter in 2013, the brand name was a deliberate provocation: the California market had over-rotated toward lean, unoaked Chardonnay, and Ahn encoded his counter-argument directly into the label — <strong>oak = bread, malolactic fermentation = butter</strong>. The brand exceeded 200,000 cases within four years without national chain distribution, validating the thesis entirely.</p><p>Fruit is sourced from two climatically opposed California zones: cool Pacific-influenced sites in <strong>Sonoma/Carneros</strong>, where marine fog suppresses sugar accumulation and preserves natural acidity, blended with <strong>Monterey/Arroyo Seco</strong> blocks where the Salinas Valley's afternoon wind tunnel produces concentrated, aromatic fruit despite the coastal latitude. No single-site soil profile dominates; the multi-regional blend is the architecture.</p><p>The two lots are aged separately before blending: <strong>Sonoma fruit spends approximately 14 months in 1-year-old American oak</strong>, building vanilla and coconut-tinged spice with softer extraction; <strong>Monterey fruit spends approximately 8 months in new French oak</strong>, adding finer-grained toast and structure. Both lots undergo <strong>100% malolactic fermentation</strong>, converting malic to lactic acid across the entire blend. ABV is 13.5%.</p><p>The special feature is the deliberate two-oak, two-region split-aging architecture — a blending strategy that uses American oak's broader grain for texture and French oak's tighter grain for aromatic lift, then unifies them through complete MLF.</p><p>Consistent house style across vintages; drink on release through 2–3 years for peak fruit expression.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,2
GWN0125BR,Plumm  Vintage SPARKLING,Wine product,Australia,South Australia,Adelaide Hills,,Plumm  Vintage SPARKLING,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
GWN0250BR,Spiegelau  Salute Red Wine Glass,Wine product,Germany,,,,Spiegelau  Salute Red Wine Glass,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LBD0007CN,St-Rémy  V.S.O.P (700 ml),Brandy,France,Cognac,Cognac,"Elegant French V.S.O.P brandy with vanilla oak, dried fruit, and warm spice complexity.","<p>St-Rémy V.S.O.P is a well-established French brandy offering balanced maturity and accessible refinement. The spirit opens with warm vanilla and caramel notes from extended oak contact, followed by subtle dried fruit and spice complexity characteristic of the V.S.O.P classification (minimum 4 years aging). A smooth, medium-full body and gentle finish make it suitable for sipping neat, in classic cocktails, or as an elegant digestif alongside chocolate, pastries, or savory appetizers.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,1
LBD0198GB,Davidoff  X.O. (700 ml),Wine product,France,Cognac,Grande Champagne,,Davidoff  X.O. (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LGN0015BU,Gordon's  Dry Gin (700 ml),Wine product,England,London,,,Gordon's  Dry Gin (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,1
LGN0016BU,Tanqueray  Gin (750 ml),Wine product,England,London,,,Tanqueray  Gin (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,1
LGN0017BU,Gilbey's  Gin (700 ml),Wine product,England,London,,,Gilbey's  Gin (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,1
LGN0018BU,Gilbey's  Gin (1 L),Wine product,England,London,,,Gilbey's  Gin (1 L),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,1
LGN0081BU,Beefeater  London Dry Gin (750 ml),Wine product,England,London,England,,Beefeater  London Dry Gin (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LGN0194BU,Tanqueray  Flor de Sevilla (700 ml),Wine product,England,,,,Tanqueray  Flor de Sevilla (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LGN0315GD,Kosapan  Kad Kokoa Cacao Spirit Gin (700 ml),Wine product,Thailand,,,,Kosapan  Kad Kokoa Cacao Spirit Gin (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LGN0320AV,Sod Chaeng  Wild Flower Gin (750 ml),Wine product,Thailand,Thailand,Chiang Mai,,Sod Chaeng  Wild Flower Gin (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LGN0370AE,G'Vine  June Watermelon (700 ml),Gin,France,Cognac,Cognac,French gin with juniper-led botanicals and bright citrus; versatile aperitif spirit.,"<p>G'Vine June Watermelon is a gin-category spirit from the Cognac region of France. The expression emphasizes juniper and citrus botanicals with supporting herbaceous and floral notes, delivering a clean, crisp profile suited to classic gin service and contemporary cocktails. Light-bodied with medium acidity, it functions as a versatile aperitif spirit.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,1
LLQ0014CN,Aperol  (700 ml),Liqueur,Italy,Veneto,Padua,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,1
LLQ0058CN,Cointreau  Orange Liqueur (700 ml),Liqueur,France,Angers,Loire Valley,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,1
LLQ0066AD,De Kuyper  Blue Curacao (700 ml),Wine product,Netherlands,,,,De Kuyper  Blue Curacao (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0085BU,Baileys  Original (700 ml),Wine product,Ireland,Dublin,County Dublin,,Baileys  Original (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LLQ0098AD,De Kuyper  Dry Orange (700 ml),Wine product,Netherlands,,,,De Kuyper  Dry Orange (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0099AD,De Kuyper  Triple Sec (700 ml),Wine product,Netherlands,,,,De Kuyper  Triple Sec (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0102AD,De Kuyper  Melon (700 ml),Wine product,Netherlands,,,,De Kuyper  Melon (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0103AD,De Kuyper  Butterscotch (700 ml),Wine product,Netherlands,,,,De Kuyper  Butterscotch (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0105AD,De Kuyper  Peachtree (700 ml),Wine product,Netherlands,,,,De Kuyper  Peachtree (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0106AD,De Kuyper  Wild Strawberry (700 ml),Wine product,Netherlands,,,,De Kuyper  Wild Strawberry (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0107AD,De Kuyper  Raspberry Pucker (700 ml),Wine product,Netherlands,,,,De Kuyper  Raspberry Pucker (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0108AD,De Kuyper  Kwai Feh Lychee (700 ml),Wine product,Netherlands,,,,De Kuyper  Kwai Feh Lychee (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,1
LLQ0211AE,Bitter Truth  Chocolate Bitters (200 ml),Liqueur,Germany,Germany,Berlin,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,1
LLQ0253AE,Bitter Truth  Orange Bitters (200 ml),Liqueur,Germany,Germany,Berlin,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,1
LLQ0298BU,Kahlua  Original (700 ml),Liqueur,USA,Mexico,Veracruz,,Kahlua  Original (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LLQ0334AD,Angostura  Aromatic Bitters (200 ml),Wine product,Trinidad & Tobago,Trinidad & Tobago,Port of Spain,,Angostura  Aromatic Bitters (200 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,1
LLQ0338BS,Bottega  Gianduia Chocolate Cream (500 ml),Liqueur,Italy,Piedmont,Veneto,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,1
