supplier_code,supplier_name,supplier_detail,pricing_structure,drive_bucket_name,drive_supplier_folder_name,drive_supplier_folder_url,profile_status,input_file_type,latest_sample_file,automation_confidence,normalization_readiness,blocker_or_risk,recommended_solution,master_sku_metric_code,master_sku_count,master_top_brands,sample_skus,match_coverage_status,match_coverage_pct,match_coverage_note
BH,"W.kiert & Fuji Co., Ltd.","W.kiert & Fuji Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BH,12,Vinturi (12),ABA0001BH; ABA0002BH; ABA0003BH; ABA0004BH; ABA0520BH; ABA0521BH,after_normalized_csv,,Requires extracted normalized supplier rows.
BJ,Yongchien Intertrade,Yongchien Intertrade,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BJ,3,Echigo (3),LBE0396BJ; LBE0397BJ; LBE0398BJ,after_normalized_csv,,Requires extracted normalized supplier rows.
BK,APHI Enterprise,APHI Enterprise,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BK,1,Hite (1),LBE0399BK,after_normalized_csv,,Requires extracted normalized supplier rows.
BL,Pacific B&B,Pacific B&B,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BL,22,Birra Baladin (5); Opperbacco (3); And Union (3); Grazie Mille (3); Birra Roma (2),LBE0400BL; LBE0756BL; LBE0757BL; LBE0758BL; LBE0759BL; LBE0760BL,after_normalized_csv,,Requires extracted normalized supplier rows.
BM,European Manufacturers United,European Manufacturers United,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BM,212,Metrokane (71); Final Touch (50); Koala (43); BarCraft (19); Rabbit (16),ABA0005BM; ABA0009BM; ABA0010BM; ABA0011BM; ABA0015BM; ABA0016BM,after_normalized_csv,,Requires extracted normalized supplier rows.
BQ,International Beverage,International Beverage,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BQ,30,Liefmans (5); Duvel (4); Filliers (4); Vedett (3); La Chouffe (3),LBE0418BQ; LBE0419BQ; LBE0420BQ; LBE0421BQ; LBE0422BQ; LBE0643BQ,after_normalized_csv,,Requires extracted normalized supplier rows.
BR,Great Earth International Company Limited,Great Earth International Company Limited,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BR,57,Spiegelau (24); Eurocave (20); Plumm (11); Glencairn (2),GWN0121BR; GWN0122BR; GWN0123BR; GWN0124BR; GWN0125BR; GWN0126BR,after_normalized_csv,,Requires extracted normalized supplier rows.
BT,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Cigar)",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BT,152,Montecristo (17); Old Malt Cask (13); Compass Box (11); Partagas (11); Romeo Y Julieta (11),LWH0135BT; LWH0132BT; LWH0133BT; LWH0134BT; LWH0131BT; LWH0086BT,after_normalized_csv,,Requires extracted normalized supplier rows.
BT2,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Whisky)",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BT,152,Montecristo (17); Old Malt Cask (13); Compass Box (11); Partagas (11); Romeo Y Julieta (11),LWH0135BT; LWH0132BT; LWH0133BT; LWH0134BT; LWH0131BT; LWH0086BT,after_normalized_csv,,Requires extracted normalized supplier rows.
BT3,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Sake&Shochu)",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BT,152,Montecristo (17); Old Malt Cask (13); Compass Box (11); Partagas (11); Romeo Y Julieta (11),LWH0135BT; LWH0132BT; LWH0133BT; LWH0134BT; LWH0131BT; LWH0086BT,after_normalized_csv,,Requires extracted normalized supplier rows.
BU-VV,Vim&Vigor,Vim&Vigor (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
BX,"Beervana Co.,Ltd.","Beervana (Thailand) Co.,Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BX,13,Deschutes (4); Rogue (3); Founders (3); Stone (3),LBE0440BX; LBE0441BX; LBE0443BX; LBE0450BX; LBE0451BX; LBE0775BX,after_normalized_csv,,Requires extracted normalized supplier rows.
CA,"The Bottles Co., Ltd.","The Bottles Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CA,23,Mysterious (9); Hello Kitty (4); Bouchon (3); Moute (3); Silverstone (2),WSP1170CA; WSP1173CA; WSP1172CA; WSP1171CA; WRW2240CA; WRW2241CA,after_normalized_csv,,Requires extracted normalized supplier rows.
CC,2 Remedy Thailand Company Limited,2 Remedy Thailand Company Limited,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CC,2,1st Night (1); Ambrosia (1),WDW0077CC; LLQ0137CC,after_normalized_csv,,Requires extracted normalized supplier rows.
CE,"Crave Beverage Co.,Ltd.","Crave Beverage Co.,Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CE,52,Bob's Bitters (10); Kavalan (7); Bittermens (6); Day of the dead (4); 888 Tres Ochos (3),LBE0490CE; LCC0005CE; LCC0006CE; LCC0007CE; LGN0025CE; LLQ0142CE,after_normalized_csv,,Requires extracted normalized supplier rows.
CI,Corner Stone,Corner Stone (ทรีไลน์),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CI,51,Cornerstone (9); Casasilva (8); Brotte (5); Tosti (4); Mt Monster (3),WWW1656CI; WRW3092CI; WSP1189CI; WWW1657CI; WRW3093CI; WWW1658CI,after_normalized_csv,,Requires extracted normalized supplier rows.
CS,Hacklberg Thailand,Hacklberg Thailand,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CS,9,Hacklberg (9),LBE0536CS; LBE0537CS; LBE0538CS; LBE0539CS; LBE0540CS; LBE0541CS,after_normalized_csv,,Requires extracted normalized supplier rows.
CT,Perfetto Foods,Perfetto Foods,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CT,8,Arrigoni (5); Trappolini (3),WRW3186CT; WRW3187CT; WRW3188CT; WRW3189CT; WRW3190CT; WWW1707CT,after_normalized_csv,,Requires extracted normalized supplier rows.
CU,"Jiamphattana Food And Beverage Co.,Ltd.","Jiamphattana Food And Beverage Co.,Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CU,31,Bodegas Valduero (7); Artero (5); Cuatro Mill (4); Altos de Rioja (3); Navaro Lopez (3),WWW1709CU; WRW3198CU; WRW3199CU; WRW3200CU; WRW3201CU; WRW3202CU,after_normalized_csv,,Requires extracted normalized supplier rows.
CW,Fusion Providores International Facilitation,Fusion Providores International Facilitation,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CW,4,Southern Land (4),WRW3210CW; WRW3211CW; WWW1717CW; WWW1718CW,after_normalized_csv,,Requires extracted normalized supplier rows.
CY,"The Matter of Taste Co., Ltd.","The Matter of Taste Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",CY,2,Hime Umeshu (1); Tea Par Tea (1),LOT0053CY; LOT0054CY,after_normalized_csv,,Requires extracted normalized supplier rows.
DA,Serenity Wines,Serenity Wines,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DA,9,Innovate (7); Infinitum (2),WRW3257DA; WRW3258DA; WRW3259DA; WWW1740DA; WRW3260DA; WRW3261DA,after_normalized_csv,,Requires extracted normalized supplier rows.
DE,"Primator Co., Ltd.","Primator (Thailand) Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DE,10,Primator (7); Maeloc Cider (3),LBE0661DE; LBE0662DE; LBE0663DE; LBE0664DE; LBE0665DE; LBE0666DE,after_normalized_csv,,Requires extracted normalized supplier rows.
DK,"Riesling & Co Co., Ltd.","Riesling & Co Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DK,113,Domaine de L’Ecu (10); Les Bertrand (6); Perticaia (6); Friedrich Becker (5); Josef Leitz (5),WWW2005DK; WRW3815DK; WRW3816DK; WRW3817DK; WRW3818DK; WRW3819DK,after_normalized_csv,,Requires extracted normalized supplier rows.
DN,"Fizz Boyz Co., Ltd.","Fizz Boyz Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DN,101,Champagne Marguet (8); J.L Vergnon Champagne (8); Roses de Jeanne (7); Charles Dufour (6); Nathalie Falmet (6),WSP1317DN; WSP1319DN; WSP1318DN; WSP1320DN; WSP1336DN; WWW2051DN,after_normalized_csv,,Requires extracted normalized supplier rows.
DP,Silver Lake,Silver Lake,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DP,5,Silverlake (5),WRW3850DP; WRW3851DP; WWW2038DP; WWW2039DP; WRS0116DP,after_normalized_csv,,Requires extracted normalized supplier rows.
DT,Yummy House,Yummy House,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DT,22,Stone Head (8); Mystic (3); Tongerlo (3); Charles Quint (3); Phuket Beer (1),LBE0772DT; LBE0833DT; LBE0834DT; LBE0835DT; LBE0836DT; LBE0837DT,after_normalized_csv,,Requires extracted normalized supplier rows.
DU,San Miguel Thailand,San Miguel Thailand,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DU,10,Magners (6); San Miguel (2); Kirin (2),LBE0868DU; LBE0869DU; LBE0870DU; LBE0872DU; LBE0871DU; LBE0873DU,after_normalized_csv,,Requires extracted normalized supplier rows.
DY,"TempTech Co., Ltd.","TempTech (Thailand) Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",DY,29,Temptech (29),AWC0043DY; AWC0044DY; AWC0046DY; AWC0047DY; AWC0048DY; AWC0049DY,after_normalized_csv,,Requires extracted normalized supplier rows.
EC,GLOBO Internacional,GLOBO Internacional,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EC,19,Herdade Do Peso (4); Super Bock (3); Joao Portugal (2); Terra Franca (2); Morgadio Da Torre (2),WDW0115EC; WDW0116EC; WRW4475EC; WRW4476EC; WRS0136EC; WWW2318EC,after_normalized_csv,,Requires extracted normalized supplier rows.
ED,"WINE IS WINE CO., LTD.","WINE IS WINE CO., LTD.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",ED,73,Gonzalez Byass Winery (13); Jorge Ordonez Winery (8); Otto Bestue Winery (7); Torello Winery (7); Comenge Winery (4),WSP1542ED; WWW2322ED; WRW4483ED; WWW2323ED; WRW4484ED; WRW4486ED,after_normalized_csv,,Requires extracted normalized supplier rows.
EH,Terroir Wines,Terroir Wines,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EH,22,Etienne Sauzet (6); Domaine Joseph Roty (4); Domaine de Mus (2); Domaine Raspail-Ay (1); Caprice de Bastor-Lamontagne (1),WWW2368EH; WWW2369EH; WWW2370EH; WWW2371EH; WWW2372EH; WRW4608EH,after_normalized_csv,,Requires extracted normalized supplier rows.
EJ,Dometic,Dometic,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EJ,25,Dometic (25),AWC0076EJ; AWC0078EJ; AWC0079EJ; AWC0080EJ; AWC0096EJ; AWC0097EJ,after_normalized_csv,,Requires extracted normalized supplier rows.
EK,Cote d Azur Spirits,Cote d Azur Spirits,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EK,7,Val D'Oca (3); Champagne Louise Marie Bennezon (2); Monte-Carlo (1); Champagne Florence Duchêne (1),LVK0176EK; WSP2479EK; WSP2480EK; WSP2481EK; WSP2564EK; WSP2565EK,after_normalized_csv,,Requires extracted normalized supplier rows.
EL,Intershinningline,Intershinningline,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EL,14,Elerlikor (5); Reginerate (3); Spacewurz (2); Elephant (1); Met (1),LGN0112EL; WDW0140EL; LGN0113EL; LGN0114EL; LGN0115EL; LGN0116EL,after_normalized_csv,,Requires extracted normalized supplier rows.
EM,Forteway Food&Beverage,Forteway Food&Beverage,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EM,9,Demousse (4); Mawleau (1); Maison Legrand (1); Grand Plessis (1); Duc de Bithynie (1),LBD0142EM; LBD0143EM; LBD0144EM; LBD0145EM; WRW4783EM; WRW4780EM,after_normalized_csv,,Requires extracted normalized supplier rows.
EN,Verasu,Verasu,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EN,21,Vintec (14); Kadeka (7),AWC0092EN; AWC0110EN; AWC0111EN; AWC0112EN; AWC0113EN; AWC0114EN,after_normalized_csv,,Requires extracted normalized supplier rows.
EP,Repour thailand,Repour thailand,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EP,1,Repour (1),ABA0365EP,after_normalized_csv,,Requires extracted normalized supplier rows.
EW,Sophienwald,Sophienwald,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EW,5,Sophienwald (5),GWN0286EW; GWN0287EW; GWN0288EW; GWN0289EW; GDC0041EW,after_normalized_csv,,Requires extracted normalized supplier rows.
EX,"Pulmentum Co., Ltd.","Pulmentum Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",EX,1,Bangkok (1),LVK0189EX,after_normalized_csv,,Requires extracted normalized supplier rows.
FA,"MC GLOBIZ CO.,LTD.","MC GLOBIZ CO.,LTD.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FA,5,Arctic Brands Group (2); Maxville (1); Valamo (1); Nocturne Noir (1),LGN0159FA; LGN0160FA; WRW5115FA; LGN0226FA; LLQ0409FA,after_normalized_csv,,Requires extracted normalized supplier rows.
FD,Little Gourmandises,Little Gourmandises,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FD,8,Weihenstephaner (5); J. Oppmann (2); Birra Morena (1),LBE0275FD; LBE0277FD; LBE0274FD; LBE0337FD; LBE0984FD; WSP2497FD,after_normalized_csv,,Requires extracted normalized supplier rows.
FK,"P.K.C. Project Management Co.,Ltd.","P.K.C. Project Management Co.,Ltd. (Consignment)",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FK,11,Askur (4); Jura (3); Helix (2); Fettercairn (1); Shackleton (1),LWH0657FK; LWH0658FK; LWH0659FK; LWH0660FK; LWH0661FK; LVK0634FK,after_normalized_csv,,Requires extracted normalized supplier rows.
FL,AVIVA,AVIVA (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FL,4,Aviva (4),WSP2581FL; WSP2582FL; WSP2583FL; WSP2584FL,after_normalized_csv,,Requires extracted normalized supplier rows.
FM,Kantina,Kantina,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FM,4,Rawen (1); Chateau Fondarzac (1); San Marco (1); Thomson Estate (1),WRW5488FM; WRW5489FM; WRW5490FM; WWW5304FM,after_normalized_csv,,Requires extracted normalized supplier rows.
FP,Central Retail,Central Retail,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FP,97,Max Ferd. Richter (8); Balthasar Ress (7); M. Chapoutier (5); Juris (5); Rainer Wess (5),WWW4847FP; WRW4968FP; WRW4969FP; WSP2596FP; WSP2597FP; WWW5136FP,after_normalized_csv,,Requires extracted normalized supplier rows.
FV,Ouranos BKK,Ouranos BKK (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FV,1,Strofilia (1),WRW5852FV,after_normalized_csv,,Requires extracted normalized supplier rows.
FW,Keith and Kym,Keith and Kym,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FW,99,The 4 Barmen (79); Vacu Vin (20),ABA0660FW; ABA0661FW; ABA0662FW; ABA0663FW; ABA0664FW; ABA0665FW,after_normalized_csv,,Requires extracted normalized supplier rows.
FY,Motavi Co Ltd,Motavi Co Ltd,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",FY,10,Chesa Veglia (2); Plascencia (2); Umnum (2); AJ Fernandez (2); Aladino (1),CIG0387FY; CIG0388FY; CIG0389FY; CIG0390FY; CIG0391FY; CIG0392FY,after_normalized_csv,,Requires extracted normalized supplier rows.
GA,Connect Asia,Connect Asia,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GA,2,Sapporo (2),LBE0306GA; LBE0316GA,after_normalized_csv,,Requires extracted normalized supplier rows.
GB,"WOLB ENTERPRISE CO., LTD","WOLB ENTERPRISE CO., LTD",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GB,5,Davidoff (3); Perfume Trees (1); Pale Ink (1),LBD0196GB; LBD0197GB; LBD0198GB; LGN0356GB; LLQ0494GB,after_normalized_csv,,Requires extracted normalized supplier rows.
GB(2),"WOLB ENTERPRISE CO., LTD","WOLB ENTERPRISE CO., LTD (Consignment)",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GB,5,Davidoff (3); Perfume Trees (1); Pale Ink (1),LBD0196GB; LBD0197GB; LBD0198GB; LGN0356GB; LLQ0494GB,after_normalized_csv,,Requires extracted normalized supplier rows.
GF,Creative Bottles Asia Pacific,Creative Bottles Asia Pacific,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GF,13,Pingorote (3); Granduc (2); Bohem (2); Latue (2); Nasan (1),LRM0228GF; WRW6202GF; WRW6203GF; WRW6204GF; WRW6205GF; WRW6206GF,after_normalized_csv,,Requires extracted normalized supplier rows.
GG,P.U.R. Distillery Co. Ltd.,P.U.R. Distillery Co. Ltd. (Head Office),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GG,6,Pur (6),LSN0003GG; LSN0004GG; LSN0005GG; LSN0006GG; LSN0007GG; LSN0008GG,after_normalized_csv,,Requires extracted normalized supplier rows.
GI,Wine Pilot,Wine Pilot,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GI,2,KSG Life (1); batano (1),WRW5975GI; WWW5303GI,after_normalized_csv,,Requires extracted normalized supplier rows.
GK,Asura Beverage,Asura Beverage (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GK,9,Asura (9),LVK0648GK; LVK0649GK; LRM0229GK; LRM0242GK; LRM0243GK; LRM0249GK,after_normalized_csv,,Requires extracted normalized supplier rows.
GL,Royal Gateway,Royal Gateway,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GL,2,Mare Santo (2),WSP5701GL; WSP5702GL,after_normalized_csv,,Requires extracted normalized supplier rows.
GM,Baeksan,Baeksan,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GM,14,Chum Churum (8); Kook Soon Dang (6),LSJ0087GM; LSJ0088GM; LSJ0089GM; LSJ0090GM; LSJ0091GM; LSJ0092GM,after_normalized_csv,,Requires extracted normalized supplier rows.
GQ,Noble Wine,Noble Wine (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GQ,17,Domaine du Chardonnay (3); Champagne H.Blin (3); Chateau Premeaux (2); Champagne Colin (2); Chateau du Bergey (1),WRW6297GQ; WRW6298GQ; WRW6299GQ; WRW6300GQ; WRW6301GQ; WRW6306GQ,after_normalized_csv,,Requires extracted normalized supplier rows.
GR,Inchon distillery,Inchon distillery (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GR,3,Inchon (3),LGN0348GR; LOT0174GR; LGN0363GR,after_normalized_csv,,Requires extracted normalized supplier rows.
GS,Yummy Greece,Yummy Greece,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GS,7,Monemvasia (7),WRW6436GS; WRW6437GS; WRS0244GS; WRW6438GS; WWW5479GS; WWW5480GS,after_normalized_csv,,Requires extracted normalized supplier rows.
